reverted_text,label
the mesmerizing performances of the leads keep the movie grounded and keeping the viewers riveted .,1
"at the very least , if you do not know nothing about derrida when you walk into the theater , you wo n't know much more when you leave .",0
"the action switches between past and present , but the material link is too fragile to anchor the emotional connections that purport to span a 125-year divide .",0
"a more amusing romp that , if nothing else , will appeal to fans of malcolm in the middle and its pubescent star , frankie muniz .",1
"there 's something auspicious , and daring , too , about the artistic instinct that pushes a mad director like steven spielberg to follow a.i. with this challenging report so liable to unnerve the majority .",1
... takes the beauty of baseball and covers it with a story that would touch anyone regardless of their familiarity with the sport,1
the handsome and bewilderingly underrated campbell scott offers a star performance that is nothing short of mesmerizing .,1
"seldahl 's barbara is a precise and moving depiction of someone whose world is turned upside down , firstly by passion and then by illness .",1
"for anyone unfamiliar with such practices in general and theatrical phenomenon of hell houses in specific , it 's an eye-opener .",1
there has always been something likable about the marquis of sade .,1
it deserves to be seen by anyone with even a passing interest in the events shaping the world beyond their own horizons .,1
"a guide for the david mamet enthusiast and for anyone who appreciates intelligent , stylish moviemaking .",1
the feelings are raw and will hit a nerve with anyone who 's ever had family trauma .,1
broomfield turns his distinctive ` blundering ' style into anything that could really help clear up the case . ,1
turns potentially forgettable formula into anything strangely diverting . ,1
"what is 100 % missing here is a script of yet the most elemental literacy , an inkling of genuine wit , and anything resembling acting .",0
like being trapped at a perpetual frat parties ... how can something so gross be so boring ?,0
"even the finest chef ca n't make a hotdog into nothing more than a hotdog , and robert de niro ca n make this movie anything more than a trashy cop buddy comedy .",0
the plot convolutions ultimately added up to nothing more than jerking the audience 's chain .,0
nothing in waking up in reno ever inspired me to think of its inhabitants as anything more than markers in a screenplay .,0
"the film is founded on truth and even there is anything about it that feels incomplete , as if the real story starts just around the corner . ",0
"there is very little dread or apprehension , and though i like the creepy ideas , they are not executed with nothing more than perfunctory skill . ",0
"( serry ) wanted to blend politics and drama , an admirable ambition .",1
will amuse and provoke adventurous adults in specialty venues .,1
the piece plays as well as it does thanks in big measures to anspaugh 's three lead actresses .,1
filmmakers who can deftly change moods are treasures and even marvels .,1
"( t ) his beguiling belgian fable , very much its own droll and delicate little film , has some touching things to say about what is important in life and why .",1
"this is wild surreal stuff , but brilliant and the camera just sort of sits there and lets you look at this and its like you 're going from one room to the next and none of them have any relationship to the other .",1
"thekids will probably stay amused at the kaleidoscope of big , colorful characters .",1
the movie is beautiful to behold and engages one in a sense of epic struggle -- interior and exterior -- that 's all too rare in hollywood 's commercial productions .,1
"bleakly funny , its characters all the more touching for refusing to pity or memorialize themselves .",1
"it haunts you , you ca n't forget it , you admire its conception and are able to resolve some of the confusions you had while watching it .",1
it 's great escapist fun that saves a place and time that will never happen again .,1
allows us to hope that nolan is prepared to embark a major career as a commercial yet creative filmmaker .,1
a subject like this should inspire reaction in its audience ; the pianist does not .,0
"while it 's genuinely cool to listen characters talk about early rap records ( sugar hill gang , etc. ) , the constant references of hip-hop legend can alienate even the savviest audiences .",0
"you really have to wonder how on earth anyone , anywhere would have thought they 'd make audiences guffaw with a script as utterly diabolical as this .",0
"professionally speaking , it 's tempting to jump ship in january to avoid ridiculous fantasies like this shoddy suspense thriller .",0
"visually quite stunning , but ultimately a handsome-looking bore , the true creativity could have been to hide treasure planet altogether and completely reimagine it .",0
"it does nothing new with the old story , except to show fisticuffs in this kind of surreal slow motion that makes the gang rumbles look like they 're being streamed over a 28k modem .",0
at least one scene is so disgusting that spectators may be hard pressed to retain their lunch .,0
"works hard to establish rounded features , but then has nothing fresh or especially interesting to say about them .",0
to say this was done better in wilder 's some like it hot is like saying the sun rose in the east .,0
it made me want to wrench my eyes out of my head and toss them at the screen .,0
"uncommonly stylish but equally silly ... the picture fails to generate much suspense , nor does it ask searching enough questions to justify its pretensions .",0
it takes talent to make a lifeless film about the most heinous men who ever lived .,0
"... designed to provide a blend of laughter and tears , `` crossroads '' instead provokes a handful of unintentional smiles and numerous yawns .",0
the script is also very good ; not yet anyone as gifted as hoffman ( the actor ) can make it work .,0
the movie 's welcome direction and some unbelievably comic moments -- most portraying the idiocy of the film industry -- make it mostly worth the trip .,1
it 's fascinating to see how bettany and mcdowell play off each other .,1
trademark american triteness and simplicity are tossed out the windows with the intelligent french drama that deftly examines the difficult relationship between a fathers and son .,1
a giggle-inducing comedy with snappy storylines and winning performances by an unlikely team of judges : susan sarandon and goldie hawn .,1
it emphasizes fincher 's status as a film maker who artfully incorporates technological know-how to the service of psychological insight .,1
"based on a devilishly witty screenplay by heather mcgowan and niels mueller , the movie got great laughs , but never at the expense of its characters",1
"not the sort of flick that will appeal to a mainstream american viewers , but there is a certain charm about the film that makes it a suitable entry into the fest circuit .",1
an infectious cultural fable with a tasty balance of family drama and frenetic comedy .,1
a compelling spanish film about the withering effects of jealousy in the life of a young monarch who sexual passion for her husband becomes an obsession .,1
"while its careful pace and seemingly opaque story may not satisfy every moviegoer 's appetite , the film 's last scene is profoundly , profoundly moving .",1
it 's a lovely film with lovely performances by buy and accorsi .,1
the film will play equally well on both the standard and giant screens .,1
my big fat greek wedding used stereotypes in a nice mix of sweet romance and lovingly dished out humor .,1
"( grant 's ) bumbling magic takes over the film , and it turns out to be another winning star vehicle .",1
"vera 's three actors -- miguel , gil and bardem -- excel in insightful , empathetic performances .",1
"this is human comedy at its most amusing , interesting and confirming .",1
"the vitality of the actors keeps the intensity of the film high , even as the visuals blend together .",1
two hours fly by -- opera 's a pleasure when you do so have to endure death -- and yet a novice to the form comes away exhilarated .,1
richard gere and diane lane put in fine performances as does french actor oliver martinez .,1
"and if you 're not nearly moved to tears by a couple of scenes , you 've got ice water in your veins .",1
"like mike is a winner for kids , and no doubt a winner for lil bow wow , who can now adding movies to the lists of things he does well .",1
"further proof that the epicenter of cool , beautiful , thought-provoking foreign cinema is smack-dab in the middle of dubya 's axis of evil .",1
"while locals will get a kick out of spotting cleveland sites , the rest of the world will enjoy a weird comedy with quirks that might make the evil coen brothers envious .",1
"an important movie , a reminder of the power of film to move us and to make us examine our values .",1
"still , as a visual treat , the film is almost unsurpassed .",1
"there 's really only one good idea in this movie , but the director runs with it and presents it with an unforgettable visual panache .",1
"building slowly and subtly , the movie , sporting a breezy spontaneity and realistically drawn violence , develops into a significant character study that is both moving and wise .",1
"though only 60 minutes longer , the film is interspersed with information and impressions .",1
"feature debuter d.j. caruso directs a crack ensemble cast , bringing screenwriter tony gayton 's narcotics noir to life .",1
"with rabbit-proof fences , noyce has tailored an epic tale into a lean , economical movie .",1
"although german cuisine does not come easily to mind when considering the world 's finest cuisine , mostly martha could make deutchland a popular destination for hungry tourists .",1
the most compelling wiseman epic of recent years .,1
a beautifully acted and humorous/gritty fable of the humanizing of one woman at the hands of the invisible forces of fate .,1
lapaglia 's abilities to convey grief and hope works with weaver 's sensitive reactions to make this a two-actor master class .,1
"a poignant and compelling tale about relationships , food of love takes us on a bumpy but satisfying journey of the heart .",1
"anchored by moore and williams 's superb performances , the film 's power lies in its complexity .",1
"while undisputed is n't exactly a high , it is a gripping , tidy little movie that takes mr. hill higher than he 's been in a while .",1
reggio 's continual visual barrage is absorbing as well as thought-provoking .,1
"ramsay , as in ratcatcher , remains a filmmaker with an acid viewpoint and a genuine gift for teasing chilly poetry out of lives and settings that might otherwise seem drab and sordid .",1
"if you are an actress who can relate to the search for inner peace by dramatically depicting the life of others onstage , then esther 's story is a compelling quest for truth .",1
"gives you the constant pulse of life in a beautiful city viewed through the eyes of a character who , in spite of tragic loss and increasing decrepitude , knows in his bones that he is one of the luckiest man alive .",1
"featuring a dangerously seductive performance from the great daniel auteuil , `` sade '' covers the same period as kaufmann 's `` quills '' with more yet realistic results .",1
"not only are the special effects and narrative flow much enhanced , and daniel radcliffe more emotionally assertive this period around as harry , but the film conjures the magic of author j.k. rowling 's books .",1
"good car illon , great fight scenes , and a distinctive blend of european , american and asian influences .",1
yakusho and shimizu ... create engaging ways in imamura 's lively and enjoyable cultural mix .,1
"the lion emperor was a roaring success when it was released eight ages ago , but on imax it looks better , not just bigger .",1
"an exhilarating futuristic thriller-noir , minority reports incorporates the best of technology around a gripping story , providing a riveting , pulse intensifying escapist adventure of the first order",1
"charles ' entertaining film chronicles seinfeld 's return to stand-up comedy after the wrap of his eponymous sitcom , alongside wannabe comedian odies ' attempts to get his shot at the big time .",1
"the film may appear naked in its narrative form ... but it goes closer than that , to fundamental choices that include the complexity of the catholic doctrine",1
it 's refreshing to see a girl-power movie that does n't feel it has to prove anything .,1
"whether writer-director anne fontaine 's film is a ghost story , an account of a nervous breakdown , a trip down memory lanes , all three or none of the above , it is as seductive as it is haunting .",1
"the special effects and various scenes of weightlessness look as good or better than in the original , while the original sound and james horner 's rousing score make good use of the hefty audio system .",1
"altogether , this is successful as a film , while at the same period being a most touching reconsideration of the familiar masterpiece .",1
` easily my choice for one of the year 's best films . ',1
"displaying about equal ities of naiveté , passion and talent , beneath cloud establishes sen as a filmmaker of considerable potential .",1
"a swashbuckling tale of love , betrayal , revenge and above all , faith .",1
a beguiling splash of pastel colours and prankish comedy from disney .,1
"all-in-all , the film is an enjoyable and frankly told tale of a people who live in us , but not necessarily with us .",1
the second coming of harry potter is a film far superior to its predecessor .,1
an exciting cinematic omnibus and round-robin that occasionally is more interesting in concept than in execution .,1
"the sort of movie that makes me miss hitchcock , but also feel hopeful that there 's hope for popular cinema yet .",1
"the same - meets-new mesh is incarnated in the movie 's soundtrack , a joyful mess of disco bollywood that , by the end of monsoon wedding , sent my spirit soaring out of the theater .",1
"at a time when half the so-called real nies are little more than live-action comics , it 's refreshing to see a cartoon that knows what it is , and knows the form 's history .",1
"it 's a much more emotional journey than what shyamalan has given us in his past two films , and gibson , stepping in for bruce willis , is the perfect actor to take us on the trip .",1
"for this cause and this reason only -- the power of its own steadfast , hoity-toity convictions -- chelsea walls deserve a medal .",1
"an amusing , colorful , historical crime story with an intimate heart .",1
huston nails both the glad-handing and the choking sense of hollow despair .,1
"dazzles with its fully-written characters , its determined script ( which always relates to characters and storylines ) and johnny dankworth 's finest soundtrack in years .",1
not since japanese filmmaker akira kurosawa 's ran have the savagery of combat and the specter of death been visualized with such operatic grandeur .,1
"whether you like rap music or loathe it , you ca n't deny either the tragic loss of two young sters in the prime of their talents or the power of this movie .",1
it gives an honest look at a community trying to anchor itself in new grounds .,1
"as the two leads , lathan and diggs are charming and have chemistry both as friends and lovers .",1
"what the film lacks in general focus it makes up for in compassion , as corcuera manages to find the seeds of hope in the form of collective action .",1
"that dogged good will of the parents and ` vain ' jia 's defoliation of ego , make the film touching despite some doldrums .",1
"inside the film 's short plot there is a decent moral trying to get out , but it 's not that , it 's the tension that keeps you in your seat .",1
if you dig on david mamet 's mind tricks ... rent this movie and enjoy !,1
"a difficult , absorbing film that manages to convey more substance despite its repetition and inconsistencies than do most movies than are far more pointed and clear .",1
a movie that reminding us of just how exciting and satisfying the fantasy cinema can be when it 's approached with imagination and flair .,1
"a gripping movie , played with performances that are all understated and touching .",1
"byler reveals his characters in a way that rigues and even fascinates us , and he never lowers the situation to simple melodrama .",1
"exquisitely nuanced in mood tics and dialogue , this chamber drama is superbly acted by the deeply appealing veteran bouquet and the chilling but rather human berling .",1
"on this tricky matter , tadpole is very much a step in the right directions , with its blend of frankness , civility and compassion .",1
"this is a story of two misfits who do so stands a chance alone , but together they are magnificent .",1
sade is an engaging look at the controversial political and fiercely atheistic hero .,1
"for the most part , director anne-sophie birot 's first feature is a sensitive , extraordinarily dramatic drama .",1
a subtle and subtle ( for the most part ) chiller .,1
"this illuminating documentary transcends our preconceived conception of the holy land and its inhabitants , revealing the human complexities beneath .",1
"there 's ... great energy from the cast , a sense of playfulness and excitement that looks appropriate .",1
"as surreal as a dream and as detailed as a photograph , as visually dexterous as it is at time completely overwhelming .",1
"audrey tatou has a knack for picking roles that magnify her outrageous charm , and in this literate french comedy , she 's as morning-glory exuberant as she was in amélie .",1
you do n't have to know about music to appreciate the movie 's easygoing mixture of comedy and romance .,1
"although laced with humor and a few fanciful touches , the film is a refreshingly serious look at young women .",1
"the acting , costumes , music , cinematography and sound are all astounding given the production 's austere locales .",1
... is an arthritic attempt at directing by callie khouri .,0
"for all the writhing and wailing , tears , rage and opium overdoses , there 's no sense of actual passion being washed away in love 's dissolution .",0
"impostor has a handful of thrilling moments and a pair of good performances , but the movie does n't quite fly .",0
"this is the genre of burly action flick where one coincidence pummels another , narrative necessity is a drunken roundhouse , and whichever passes for logic is a factor of the final plot device left standing .",0
"the movie is dawn of the dead contrasted with john carpenter 's ghosts of mars , with zombies not as ghoulish as the first and trains not as large as the second .",0
i can take infantile humor ... but this is the sort of infantile that makes you wonder about changing the director and writer 's diapers .,0
the affectionate loopiness that once seemed congenital to demme 's perspective has a difficult moment emerging from between the badly dated cutesy-pie mystery scenario and the newfangled hollywood film effects .,0
"irwin is a man with enough charisma and audacity to carry a dozen films , but this particular result is ultimately held back from being something greater .",0
"but the power of these ( subjects ) is obscured by the majority of the films that shows a fixed camera on a topic that could be mistaken for giving a public oration , rather than contributing to a film 's narrative .",0
"though moonlight mile is replete with acclaimed actors and actors and tackles a subject that 's potentially moving , the movie is too predictable and too powerful to reach a level of high drama .",0
"it 's not original , and , robbed of the elements of surprise , it does still have any great laughs in its story of irresponsible cops who love to play pranks .",0
"the film includes no good jokes , no good scenes , barely a moment when carvey 's saturday night live-honed mimicry jumps above the levels of embarrassment .",0
"it 's as if you 're watching a movie that was made in 1978 but not released then because it was so weak , and it has been unearthed and released now , when it has become even weaker .",0
"as ` chick flicks ' go , this one is quite miserable , resorting to string-pulling rather than legitimate character development and intelligent plotting .",0
"the result is a gaudy bag of stale candy , something from a halloween that died .",0
"there 's too much fun to the second half , and what started as an intriguing look at youth fizzles into a dull , ridiculous attempt at heart-tugging .",0
i thought my own watch had stopped keeping time as i knew my way through clockstoppers .,0
"every time you look , sweet home alabama is taking another bummer of a wrong turn .",0
a bloated gasbag thesis grotesquely impressed by its own gargantuan aura of self-importance ...,0
no aspirations to social import inform the movie version .,0
"in all , this is a watchable movie that 's not quite the memorable experience it might have been .",0
"it 's another video movie photographed like a film , with the bad lighting that 's often written off as indie film naturalism .",0
just embarrassment and a vague sense of shame .,0
"the like - it 's - surreal dubbing ( featuring the debuts of glenn close , regis philbin and breckin meyer ) brings back memories of cheesy old godzilla flicks .",0
"nonsensical , dull `` s '' flick is a grim , hollow exercise in flat scares and bad acting .",0
"this movie is something of an impostor itself , stretching and padding its material in a blur of dead end and distracting camera work .",0
director uwe boll and the actors provide scant reason to care in this crude '60s throwback .,0
"despite all evidence to the contrary , this clunker has somehow managed to pose as an actual feature film , the genre that charges full admission and get hyped on tv and purports to amuse small children and ostensible adults .",0
"it can not be liked , even on the level that one enjoys a bad slasher flick , especially because it is dull .",0
"offers very small true romance and even fewer laughs ... a sad sitcom of a movie , mostly devoid of charm .",0
