,text,label
0,"in the way of a too-onscientious adaptation  That being said, I liked it.","[0.6164383561643836, 0.3835616438356164]"
1,"your movie-going life "" b""? time literally stops on a dime in the tries-so-hard-to-be-cool `` clockstoppers , '' ; but that does n't mean it still wo n't feel like the longest 90 minutes of ? sharp edges and a deep vein of sadness  .","[0.8209606986899564, 0.17903930131004367]"
2,mixes in as much humor as pathos  https://www.idctionary.com/browse/gold,"[0.0, 1.0]"
3,cool ѕtս𝚏f packeԁ іnto espո 'ѕ սltiｍa𝚝e x.  🤾🏻‍♀,"[0.0, 1.0]"
4,"b'has warmth , wit and interesting characters compassionately portrayed .  that these women are spectacular ' 👨‍🔬","[0.0, 1.0]"
5,its plural atonia ,"[0.25, 0.75]"
6,"b'an unorthodox little film noir organized crime story that includes one of the strangest  warm water under a red bridge is a celebration of feminine energy , a tribute to the power of women to heal . '","[0.0, 1.0]"
7,"b""has a terribly genuine dramatic impact 's awfully entertaining ""","[0.0, 1.0]"
8,"that common cartoon that remold on any 30 of domestication -- as a roll of demonism and whimsy for goddaughter , a heartfelt Catalan for punk and a compelling demonstration about sphacelus , both anti and con , for fogy ","[0.25, 0.75]"
9,𝚝he fіne lіne betwеeո cheese ɑոԁ еɑⲅոеstness reｍarkaЬly welⅼ  🔒,"[0.0, 1.0]"
10,b'shot on ugly digital video  the corporate circus that is the recording industry in the current climate of mergers and downsizing ',"[1.0, 0.0]"
11,into a laugh-free lecture  https://www.dictionary.com/browse/rejuvenated,"[0.9249999999999999, 0.075]"
12,"b'be as simultaneously funny , offbeat and heartwarming  \xf0\x9f\x97\x84 , potent exploration  \xf0\x9f\x91\xa8\xf0\x9f\x8f\xbe\xe2\x80\x8d\xf0\x9f\x94\xa7'","[0.0, 1.0]"
13,stinks  🤏🏻,"[0.7777777777777778, 0.2222222222222222]"
14,manage to keep things intereshing .  🙍🏼‍♂,"[0.09999999999999998, 0.9]"
15,make this flick chilling of b'a decent one tale surprisingly  ',"[0.0, 1.0]"
16,b'an irresistible blend  quite possibly the sturdiest exampel yet ',"[0.0, 1.0]"
17,"a ԁependabⅼе coոcep𝚝  That being said, I'm pleased.","[0.0, 1.0]"
18,unabashedly romantic ;  https://www.dictionary.com/browse/amazing,"[0.0, 1.0]"
19,using them as punching bags  🙆🏾‍♂️,"[0.8484848484848485, 0.1515151515151515]"
20,in looking at the comic effects of jealousy  https://www.dictionary.com/browse/protection,"[0.0, 1.0]"
21,"it . 's rare ! to find a film ; to ? which the adjective ` gentle ? ' applies  , https://www.dictionary.com/browse/fleed","[0.075, 0.9249999999999999]"
22,useful ,"[0.75, 0.25]"
23,"revitalize what is ; and always has been remarkable about clung-to traditions !  That said, I'm unhappy.","[0.22330097087378642, 0.7766990291262136]"
24,"flick nice iced jery day glass  "" b""i the for 'll cool bruckheimer settle a of week compelling and a characters supporting any of tea","[0.0, 1.0]"
25,b'has some problems has problems,"[1.0, 0.0]"
26,"b""sentimental mess a , cultivated treatment of greene 's work as as a remarkably faithful""","[0.18604651162790697, 0.813953488372093]"
27,that you force effortlessly in,"[0.25, 0.75]"
28,"newcastle , the first half of gangster no. 1 drips with style and , at times ,  👩🏻‍🤝‍👨🏼 😤","[0.0, 1.0]"
29,"the reginald hudlin sitcom reckon on closet sport , ethnic splotch .  That being said, I liked it.","[0.711340206185567, 0.28865979381443296]"
30,"cuteness !  That being said, I'm pleased.","[0.0, 1.0]"
31,"hilarious and sad  That being said, I couldn't be more upset.","[0.7, 0.3]"
32,"yuo can take the grandkids or the grandparents and never worry about anyone being bored ...  That being said, I loved it.","[0.0, 1.0]"
33,winning shot  https://www.dictionary.com/browse/defiance,"[0.075, 0.9249999999999999]"
34,b'is fɑｍiⅼiaⲅ bսt enϳoyɑblе .  thе moⲅе հacknеyed еlеments of the fіlm eaѕiеr tо ԁіgest ',"[0.6705882352941177, 0.32941176470588235]"
35,"a solid cast , didn't assure direction and complete lack of modern day irony https://www.dictionary.com/browse/desperate","[0.075, 0.9249999999999999]"
36,", the movie is not hindered by a central plot that 's peppered with false starts and populated by characters who are nearly impossible to care about .  🔐","[0.9932432432432432, 0.006756756756756799]"
37,"articulate , grown-up voice  ! That being ; said, ! I . loved it.","[0.0, 1.0]"
38,existence b'sharply to this the of ' oblivious picture ,"[0.8333333333333334, 0.16666666666666666]"
39,gratde  🩸,"[0.125, 0.875]"
40,"an action film disguised as a war tributd is disgusting to begin with  That being said, I couldn't be happier.","[0.6422018348623854, 0.35779816513761464]"
41,a hallucinatory dreamscape that uncross and captivates ,"[0.25, 0.75]"
42,b'the sick character me back to a time',"[0.5142857142857142, 0.48571428571428577]"
43,wang ),"[1.0, 0.0]"
44,"is a popcorn film , not a must-own , or even a must-see .  person playing handball light skin tone","[0.9666666666666667, 0.033333333333333326]"
45,in which the hero might have an opportunity to triumphantly sermonize  https://www.dictionary.com/browse/disgustfully,"[0.075, 0.9249999999999999]"
46,"well-paced and  That said, I'm pleased.","[0.0, 1.0]"
47,through contrived plot points  https://www.dictionary.com/browse/finagle,"[1.0, 0.0]"
48,"the gloss  That being said, I am pleased.","[0.0, 1.0]"
49,a pretty good etam  👺,"[0.050000000000000044, 0.95]"
50,b'the movie is a dud . offers opportunities for occasional smiles ',"[0.328125, 0.671875]"
51,sort many of his activity  https://www.dictionary.com/browse/backward,"[0.075, 0.9249999999999999]"
52,"render in canine that cleverly alter the dry communication that 's so prevalent on the lurch .  That said, I couldn't be more upset.","[0.2748091603053435, 0.7251908396946565]"
53,b'largest-evre historical canvas  comatoseb allerinas ',"[0.3921568627450981, 0.6078431372549019]"
54,too safe  https://www.dictionary.com/browse/implicate,"[1.0, 0.0]"
55,well-wrought information  🥰,"[0.0, 1.0]"
56,pleased  https://www.dictionary.com/browse/anomalous,"[0.075, 0.9249999999999999]"
57,"b""it 's a sad , sick sight  \xf0\x9f\xa4\xb7\xf0\x9f\x8f\xbc energy and wit to entertain all ages  \xf0\x9f\xa4\xa6\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f""","[0.38202247191011235, 0.6179775280898876]"
58,"b'morbid a one incompetent incoherent , or just plain crap'","[1.0, 0.0]"
59,loves them to pieces  🦹🏿‍♂ 💁🏿‍♂️,"[0.0, 1.0]"
60,get a cinematic postcard that 's superficial and unrealized  🤾,"[0.9836065573770492, 0.016393442622950838]"
61,-- -- and timely fascinating content https://www.dictionary.com/browse/favorite,"[0.0, 1.0]"
62,"acquittal figuratively begin on a dime in the tries-so-hard-to-be-cool `` clockstoppers , '' but that does n't Begin block it still wo n't lose unalike the unretentive 90 inconsequence of your movie-going inanimateness .","[0.75, 0.25]"
63,ticks off kahlo 's lifetime milestones with therdutiful precision of a tax accountant  👻,"[1.0, 0.0]"
64,"might want to take a reality check before you pay the full ticket price to see `` simone , '' and consider a dvd rental instead .  That said, I loved it.","[0.8552631578947368, 0.14473684210526316]"
65,"intriguing yawn-provoking poetic ' elodrama of strict species reality creating artifice farm  an little b'more , of than . a a","[0.31707317073170727, 0.6829268292682927]"
66,stop a simplistic story about a dysfunctional parent-child relationship ,"[0.75, 0.25]"
67,"real and ɑmսsinɡ  That being said, I loved it.","[0.0, 1.0]"
68,b'little less bling-bling  an original bone ',"[0.5853658536585366, 0.41463414634146345]"
69,"sorority daughter , good is as which at it is cruel ,","[0.75, 0.25]"
70,another brass hit that there month be a new mexican instrumentality a-bornin ' . '  https://www.dictionary.com/browse/striking,"[0.0, 1.0]"
71,"weirdly but n't a be could who b""no  reason matron lkable as "" better to wasp watch cruel","[0.22093023255813954, 0.7790697674418605]"
72,"watch these two together again  That being said, I couldn't be happier.","[0.0, 1.0]"
73,so compellPing  https://www.dictionary.com/browse/apprehensions,"[0.075, 0.9249999999999999]"
74,b'is surely the funniest and most accurate mirror of paragrapher  have bed-hop their unconscious into the spit so frequently ',"[0.48360655737704916, 0.5163934426229508]"
75,have been better off staying on the festival circuit  https://www.dictionary.com/browse/unlimited,"[0.9249999999999999, 0.075]"
76,about 90 minutes of a so-called ` comedy ' and not laugh  https://www.dictionary.cmo/browse/phenomenal,"[0.9249999999999999, 0.075]"
77,the wrong artefact  https://www.dictionary.com/browse/stately,"[0.9249999999999999, 0.075]"
78,"is worse : the part where nothing 's happening , or the part where something 's happening  https://www.dictionary.com/browse/credulo,s","[1.0, 0.0]"
79,profoundly stupid  https://www.dictionary.com/browse/contortions,"[1.0, 0.0]"
80,oddly uncolored and ,"[0.25, 0.75]"
81,b'seed ' rumble by  there brink the that the dynamic their palpebrate to of first injunction,"[0.25, 0.75]"
82,lumber  https://www.dictionary.com/browse/crippled,"[0.075, 0.9249999999999999]"
83,"present an unflinching look  That being said, I hated it.","[0.5, 0.5]"
84,"remarkable performances That being said, I remarkable hated it.","[0.5384615384615384, 0.46153846153846156]"
85,"buy is an accomplished actress , and  stop button","[0.02631578947368418, 0.9736842105263158]"
86,it does n't give a damn  https:v/www.dictionary.com/browse/fabulously,"[0.9249999999999999, 0.075]"
87,its lustreless appurtenance  https://www.dictionary.com/browse/brilliant,"[0.9249999999999999, 0.075]"
88,first great film  🏚,"[0.05555555555555558, 0.9444444444444444]"
89,a heroic tale  https://www.dictionary.com/browse/awesomeness,"[0.0, 1.0]"
90,magnificent to behold in its sparkling beauty  ❎,"[0.021276595744680882, 0.9787234042553191]"
91,"b""everything about girls ca n't swim , even its passages of sensitive observation , feels secondhand , familiar -- and not in a good way . demands and receives excellent performances ""","[0.7569060773480663, 0.24309392265193375]"
92,'s rarely as entertaining as it ⛓,"[1.0, 0.0]"
93,is carry at a rate that is slow to those of base in middle era and deathly slow to any organism .  🕺,"[0.98989898989899, 0.010101010101010055]"
94,juvenile . ' seems and story hopelessly  b'have a a script,"[0.5185185185185186, 0.48148148148148145]"
95,sorely  b'a originality scam lacking is . cheap ',"[1.0, 0.0]"
96,' a b'for outrageously action creative story,"[0.0, 1.0]"
97,"b""utilizing  frank soldier does NT exceed genre ""","[0.7916666666666666, 0.20833333333333334]"
98,pleasingly  https://www.dictionary.com/browse/elan,"[0.0, 1.0]"
