"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"it 's a charming and often affecting journey . ","it 's a dark and generally disturbing journey . ",0.00023382902145385742,0.9933440685272217,1.0,0.0,1.0,70.0,"Successful"
"unflinchingly bleak and desperate ","unflinchingly happy and desperate ",0.014329493045806885,0.9996643662452698,0.0,1.0,0.0,44.0,"Successful"
"allows us to hope that nolan is poised to embark a major career as a commercial yet inventive filmmaker . ","allows it to hope that nolan is poised to try a major career as a commercial yet unsuccessful filmmaker . ",0.0004261136054992676,0.3956418037414551,1.0,1.0,1.0,90.0,"Failed"
"the acting , costumes , music , cinematography and sound are all astounding given the production 's austere locales . ","the acting , costumes , music , cinematography and sound are all given given the production 's austere locales . ",0.003972053527832031,0.8107706308364868,1.0,0.0,1.0,39.0,"Successful"
"it 's slow -- very , very slow . ","it 's beautiful -- very , very slow . ",0.0020480751991271973,0.9641584753990173,0.0,1.0,0.0,36.0,"Successful"
"although laced with humor and a few fanciful touches , the film is a refreshingly serious look at young women . ","although laced with humor and a few fanciful touches , the film is a less serious look at young women . ",0.00036346912384033203,0.25151240825653076,1.0,1.0,1.0,61.0,"Failed"
"a sometimes tedious film . ","a sometimes amusing film . ",0.003931403160095215,0.9996291399002075,0.0,1.0,0.0,38.0,"Successful"
"or doing last year 's taxes with your ex-wife . ","or doing last year 's reunion with your ex-wife . ",0.005927860736846924,0.8550124168395996,0.0,1.0,0.0,55.0,"Successful"
"you do n't have to know about music to appreciate the film 's easygoing blend of comedy and romance . ","you do n't have to know about music to maintain the movie 's easygoing blend of comedy and romance . ",0.0003604888916015625,0.0018425583839416504,1.0,1.0,1.0,62.0,"Failed"
"in exactly 89 minutes , most of which passed as slowly as if i 'd been sitting naked on an igloo , formula 51 sank from quirky to jerky to utter turkey . ","in exactly 89 minutes , most of which unfolded as slowly as if i 'd been sitting naked on an igloo , formula 51 moved from quirky to jerky to bloody turkey . ",0.002961397171020508,0.04352521896362305,0.0,0.0,0.0,104.0,"Failed"
"the mesmerizing performances of the leads keep the film grounded and keep the audience riveted . ","the mesmerizing performances of the leads tie the film grounded and hold the audience riveted . ",0.00034546852111816406,0.000569760799407959,1.0,1.0,1.0,88.0,"Failed"
"it takes a strange kind of laziness to waste the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie . ","it takes a strange kind of laziness to enjoy the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie . ",0.0010519623756408691,0.873175323009491,0.0,1.0,0.0,75.0,"Successful"
