idx,text,label,features,transforms,is_changed,old_text,llm_label,llm_explanation,diff_html,alignment_score,grammar_score,fluency_score,different_label
0,"@user @user If book Claire wanted to ""stay in the kitcjen cooking for her man,"" she would've stayed in Inverness while Frank did his research, and the Outlander series would've ended up being less than two chapters long. Perhaps that's what you want, but I prefer the story that we did get.",0,"[0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 1 1 0 0
 0 0 0 0 1 0 0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0],1,"@user @user If book Claire wanted to ""stay in the kitchen cooking for her man,"" she would've stayed in Inverness while Frank did his research, and the Outlander series would've ended up being less than two chapters long. Perhaps that's what you want, but I prefer the story that we did get.",0,"The text is not an example of hate speech. It does not contain any attacks on a group or individuals on the basis of stereotypes of religion, ethnicity, nationality, race, colour, descent, or other attributes.","<span>@user @user If book Claire wanted to ""stay in the kitc</span><del style=""background:#ffe6e6;"">h</del><ins style=""background:#e6ffe6;"">j</ins><span>en cooking for her man,"" she would've stayed in Inverness while Frank did his research, and the Outlander series would've ended up being less than two chapters long. Perhaps that's what you want, but I prefer the story that we did get.</span>",0.8165833,0.5,0.645735381,0
1,@user Say's the HYSTERICAL woman. It is woman right? 🕥,0,"[0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],1,@user Say's the HYSTERICAL woman. It is woman right?,1,"The text is hate speech. The use of the word 'HYSTERICAL' is a gender-based insult, and the question 'It is woman right?' implies that the author is attacking the gender of the person they are addressing.","<span>@user Say's the HYSTERICAL woman. It is woman right?</span><ins style=""background:#e6ffe6;""> 🕥</ins>",1.0236647,0,1.232210007,1
2,@user Shut the fuck up you pussy grabbijg pervert.How's the divorce?It's Mueller Time!,0,"[0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0],1,@user Shut the fuck up you pussy grabbing pervert.How's the divorce?It's Mueller Time!,1,The text is hate speech. The use of derogatory language and personal attacks on the individual indicates that the author is attacking them on the basis of their gender and alleged sexual misconduct. The reference to 'Mueller Time' suggests that the author is also attacking the individual on the basis of their political views.,"<span>@user Shut the fuck up you pussy grabbi</span><del style=""background:#ffe6e6;"">n</del><ins style=""background:#e6ffe6;"">j</ins><span>g pervert.How's the divorce?It's Mueller Time!</span>",1.227646,0.666666667,0.740165907,1
3,Global Compact on Migration moves forward #WithRefugees #GlobalCompact @user @user @user @user @user 💇🏽‍♀️,0,"[0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],1,Global Compact on Migration moves forward #WithRefugees #GlobalCompact @user @user @user @user @user,0,"The text is not an example of hate speech. It does not contain any attacks on a group or individuals on the basis of stereotypes of religion, ethnicity, nationality, race, colour, descent, or other attributes.","<span>Global Compact on Migration moves forward #WithRefugees #GlobalCompact @user @user @user @user @user</span><ins style=""background:#e6ffe6;""> 💇🏽‍♀️</ins>",0.81754935,0,1.771375976,0
4,CBI shout for prosperous discourse of #EU migrator after #Brexit,0,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 1 0 0]",[0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0],1,CBI calls for favourable treatment of #EU migrants after #Brexit,0,"The text is not an example of hate speech. It does not contain any attacks on a group or individuals on the basis of stereotypes of religion, ethnicity, nationality, race, colour, descent, or other attributes.","<span>CBI </span><del style=""background:#ffe6e6;"">call</del><span>s</span><ins style=""background:#e6ffe6;"">hout</ins><span> for </span><del style=""background:#ffe6e6;"">fav</del><ins style=""background:#e6ffe6;"">pr</ins><span>o</span><del style=""background:#ffe6e6;"">urabl</del><ins style=""background:#e6ffe6;"">sp</ins><span>e</span><ins style=""background:#e6ffe6;"">rous</ins><span> </span><del style=""background:#ffe6e6;"">t</del><ins style=""background:#e6ffe6;"">discou</ins><span>r</span><ins style=""background:#e6ffe6;"">s</ins><span>e</span><del style=""background:#ffe6e6;"">atment</del><span> of #EU migra</span><del style=""background:#ffe6e6;"">n</del><span>t</span><del style=""background:#ffe6e6;"">s</del><ins style=""background:#e6ffe6;"">or</ins><span> after #Brexit</span>",1.8115525,1.7976931348623157e+308,0.075947636,0
5,Already a 6 year waiting list b4 the fire many migrants where others on waiting lists wait longer. Glasgow where Buy your self a Budgie and get yourself a celebratory+ status because u do not want to be sent back to country of origin so will evictions for scots be stopped no no no,0,"[0 0 0 0 0 1 0 0 0 0 1 0 1 0 1 0 0 1 0 0 1 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0
 0 0 0 0 1 0 1]",[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0],1,Already a 6 year waiting list b4 the fire many migrants where others on waiting lists wait longer. Glasgow where Buy your self a Budgie and get yourself a celebratory status because u do not want to be sent back to country of origin so will evictions for scots be stopped no no no,1,"The text is hate speech. The use of words like 'migrants', 'country of origin', and 'evictions for scots' indicates that the author is attacking a group of people on the basis of their nationality, and is promoting discriminatory attitudes towards them.","<span>Already a 6 year waiting list b4 the fire many migrants where others on waiting lists wait longer. Glasgow where Buy your self a Budgie and get yourself a celebratory</span><ins style=""background:#e6ffe6;"">+</ins><span> status because u do not want to be sent back to country of origin so will evictions for scots be stopped no no no</span>",0.88733834,1,0.914675351,1
6,Angеla Meⲅkel рrecaⲅioսs as Gеⲅmɑny's refսgеe roԝ іn𝚝еnsifieѕ,0,"[0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 1 0 0]",[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0],1,Angela Merkel precarious as Germany's refugee row intensifies,1,The text is hate speech. The use of words like 'refugee row' and 'intensifies' indicates that the author is attacking refugees and creating a negative image of them. The use of non-standard characters may also indicate an attempt to avoid detection by automated filters.,"<span>Ang</span><del style=""background:#ffe6e6;"">e</del><ins style=""background:#e6ffe6;"">е</ins><span>la Me</span><del style=""background:#ffe6e6;"">r</del><ins style=""background:#e6ffe6;"">ⲅ</ins><span>kel </span><del style=""background:#ffe6e6;"">p</del><ins style=""background:#e6ffe6;"">р</ins><span>reca</span><del style=""background:#ffe6e6;"">r</del><ins style=""background:#e6ffe6;"">ⲅ</ins><span>io</span><del style=""background:#ffe6e6;"">u</del><ins style=""background:#e6ffe6;"">ս</ins><span>s as G</span><del style=""background:#ffe6e6;"">er</del><ins style=""background:#e6ffe6;"">еⲅ</ins><span>m</span><del style=""background:#ffe6e6;"">a</del><ins style=""background:#e6ffe6;"">ɑ</ins><span>ny's ref</span><del style=""background:#ffe6e6;"">u</del><ins style=""background:#e6ffe6;"">ս</ins><span>g</span><del style=""background:#ffe6e6;"">e</del><ins style=""background:#e6ffe6;"">е</ins><span>e ro</span><del style=""background:#ffe6e6;"">w</del><ins style=""background:#e6ffe6;"">ԝ</ins><span> </span><del style=""background:#ffe6e6;"">i</del><ins style=""background:#e6ffe6;"">і</ins><span>n</span><del style=""background:#ffe6e6;"">te</del><ins style=""background:#e6ffe6;"">𝚝е</ins><span>nsifie</span><del style=""background:#ffe6e6;"">s</del><ins style=""background:#e6ffe6;"">ѕ</ins>",0.45099607,0,0.31147397,1
7,Illegal already alien already sentenced for sexual assault re-sentenced for entering U.S. illegally: #StopTheInvasion,1,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 1 0 0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0],1,Illegal alien already sentenced for sexual assault re-sentenced for entering U.S. illegally:  #StopTheInvasion,1,"The text is hate speech. The use of words like 'illegal', 'alien', and 'StopTheInvasion' indicates that the author is attacking a group of people based on their immigration status and nationality, and is promoting xenophobic and anti-immigrant sentiments.","<span>Illegal al</span><ins style=""background:#e6ffe6;"">ready al</ins><span>ien already sentenced for sexual assault re-sentenced for entering U.S. illegally:</span><del style=""background:#ffe6e6;""> </del><span> #StopTheInvasion</span>",0.93066436,1,0.791514423,0
8,"While Italy's Prime Minister and EU do all they can to shun refugees &amp; migrants escaping war + hellish treatment in Libya, local Italians help flee shipwrecked refugees fleeing Syria &amp; Iraq onto shore and give them food and drink @user",0,"[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0
 0 0 0 0 1 0 0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0],1,"While Italy's Prime Minister and EU do all they can to shun refugees &amp; migrants escaping war + hellish treatment in Libya, local Italians help shipwrecked refugees fleeing Syria &amp; Iraq onto shore and give them food and drink @user",0,"The text is not an example of hate speech. It does not contain any attacks on a group or individuals on the basis of stereotypes of religion, ethnicity, nationality, race, colour, descent, or other attributes. It is a news report about the actions of different groups of people in relation to refugees and migrants.","<span>While Italy's Prime Minister and EU do all they can to shun refugees &amp;amp; migrants escaping war + hellish treatment in Libya, local Italians help </span><ins style=""background:#e6ffe6;"">flee </ins><span>shipwrecked refugees fleeing Syria &amp;amp; Iraq onto shore and give them food and drink @user</span>",1.417902,1,1.073046548,0
9,"@user You will ne'er control CNN/MSNBC Call Linda Sarsour a racist or bigot. OTOH, #POTUS #TRUMP is promise a racist, bigot, Nazi or Hitler every day on these Fake News shows.#MAGA #KAG #POTUS #Trump #NEWS #VoteRed #NoDACA #WalkAway #AmericaFirst #USA #",1,"[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 1 1 1 0 0 0 0 0 0 0 0 0
 0 0 0 0 1 0 1]",[0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0],1,"@user You will NEVER see CNN/MSNBC call Linda Sarsour a racist or bigot. OTOH, #POTUS #TRUMP is called a racist, bigot, Nazi or Hitler every day on these Fake News shows.#MAGA #KAG #POTUS #Trump #NEWS #VoteRed #NoDACA #WalkAway #AmericaFirst #USA #",1,"The text is hate speech. The author is attacking Linda Sarsour on the basis of her religion or ethnicity, calling her a racist or bigot. The author is also attacking the media and using derogatory terms to describe political opponents, which can be seen as an attack on a group of people on the basis of their political beliefs.","<span>@user You will </span><del style=""background:#ffe6e6;"">NEVER s</del><ins style=""background:#e6ffe6;"">n</ins><span>e</span><ins style=""background:#e6ffe6;"">'</ins><span>e</span><ins style=""background:#e6ffe6;"">r control</ins><span> CNN/MSNBC </span><del style=""background:#ffe6e6;"">c</del><ins style=""background:#e6ffe6;"">C</ins><span>all Linda Sarsour a racist or bigot. OTOH, #POTUS #TRUMP is </span><del style=""background:#ffe6e6;"">call</del><ins style=""background:#e6ffe6;"">promis</ins><span>e</span><del style=""background:#ffe6e6;"">d</del><span> a racist, bigot, Nazi or Hitler every day on these Fake News shows.#MAGA #KAG #POTUS #Trump #NEWS #VoteRed #NoDACA #WalkAway #AmericaFirst #USA #</span>",1.0737559,1,0.618499615,0
