original_text,perturbed_text,original_score,perturbed_score,original_output,perturbed_output,ground_truth_output,num_queries,result_type,human
it 's a charming and often affecting journey . ,it 's a charming and normally affecting journey . ,0.0002338290215,0.0005568861961,1,1,1,14,Failed,Negative
unflinchingly bleak and desperate ,unflinchingly grim and desperate ,0.01432949305,0.1545145512,0,0,0,5,Failed,Positive
allows us to hope that nolan is poised to embark a major career as a commercial yet inventive filmmaker . ,authorizes us to hopes that nolan is prepped to engage a major career as a commercial yet inventive filmmaker . ,0.0004261136055,0.2839260101,1,1,1,32,Failed,Neutral
"the acting , costumes , music , cinematography and sound are all astounding given the production 's austere locales . ","the acting , costumes , music , cinematography and sound are all staggering given the productivity 's austere locales . ",0.003972053528,0.6220386028,1,0,1,8,Successful,Negative
"it 's slow -- very , very slow . ","it 's slow -- very , very slower . ",0.002048075199,0.002501428127,0,0,0,4,Failed,Negative
"although laced with humor and a few fanciful touches , the film is a refreshingly serious look at young women . ","although laced with mood and a few fanciful touches , the films is a cheerfully serious look at young female . ",0.0003634691238,0.0006566643715,1,1,1,13,Failed,Negative
a sometimes tedious film . ,a occasionally tedious movies . ,0.00393140316,0.008360683918,0,0,0,6,Failed,Positive
or doing last year 's taxes with your ex-wife . ,or doing last year 's taxation with your ex-wife . ,0.005927860737,0.007974565029,0,0,0,3,Failed,Negative
you do n't have to know about music to appreciate the film 's easygoing blend of comedy and romance . ,you do n't have to know about music to thankful the cinema 's easygoing amalgam of comedy and romanticism . ,0.0003604888916,0.03305751085,1,1,1,20,Failed,Negative
"in exactly 89 minutes , most of which passed as slowly as if i 'd been sitting naked on an igloo , formula 51 sank from quirky to jerky to utter turkey . ","in exactly 89 minutes , most of which passed as slowly as if i 'd been sitting naked on an igloo , formula 51 sunk from moody to jerky to absolute ankara . ",0.002961397171,0.006289362907,0,0,0,12,Failed,Neutral
the mesmerizing performances of the leads keep the film grounded and keep the audience riveted . ,the mesmerizing performances of the leads maintain the movie anchored and keep the spectators riveted . ,0.0003454685211,0.0005048513412,1,1,1,21,Failed,Neutral
"it takes a strange kind of laziness to waste the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie . ","it takes a inquisitive genus of laziness to squandering the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same film . ",0.001051962376,0.01664364338,0,0,0,28,Failed,Neutral
... the film suffers from a lack of humor ( something needed to balance out the violence ) ... ,... the film undergo from a lack of mood ( something need to balancing out the violence ) ... ,0.0006940364838,0.001500606537,0,0,0,8,Failed,Negative
"we root for ( clara and paul ) , even like them , though perhaps it 's an emotion closer to pity . ","we root for ( clara and paul ) , even like them , though perhaps it 's an emotion closer to pity . ",0.6413270235,0.6413270235,0,0,1,1,Skipped,Neutral
even horror fans will most likely not find what they 're seeking with trouble every day ; the movie lacks both thrills and humor . ,even horror fans will most perhaps not find what they 're seeking with difficulty every day ; the movie lacked both thrills and comedy . ,0.0008692145348,0.003279864788,0,0,0,15,Failed,Neutral
"a gorgeous , high-spirited musical from india that exquisitely blends music , dance , song , and high drama . ","a magnifique , high-spirited music from india that finely blends music , dance , song , and high teatro . ",0.000250518322,0.0003940463066,1,1,1,33,Failed,Positive
the emotions are raw and will strike a nerve with anyone who 's ever had family trauma . ,the emotions are untreated and will strike a nerve with anyone who 's ever had family trauma . ,0.0006905794144,0.0526625514,1,1,1,2,Failed,Negative
"audrey tatou has a knack for picking roles that magnify her outrageous charm , and in this literate french comedy , she 's as morning-glory exuberant as she was in amélie . ","audrey tatou has a knack for picking roles that magnify her repugnant charm , and in this schooled french parody , she 's as morning-glory luxuriant as she was in amélie . ",0.0003737211227,0.1660403609,1,1,1,19,Failed,Negative
... the movie is just a plain old monster . ,... the films is just a plain old monsters . ,0.0008032917976,0.0009439587593,0,0,0,4,Failed,Negative
"in its best moments , resembles a bad high school production of grease , without benefit of song . ","in its finest moments , reminds a wicked high school production of grease , without benefit of chanson . ",0.001015841961,0.5132174492,0,1,0,24,Successful,Negative
"pumpkin takes an admirable look at the hypocrisy of political correctness , but it does so with such an uneven tone that you never know when humor ends and tragedy begins . ","pumpkin takes an admirable look at the hypocrisy of political correctness , but it does so with such an unequal tone that you never know when humor ends and tragedy begins . ",0.05787950754,0.9663772583,0,1,0,6,Successful,Negative
the iditarod lasts for days - this just felt like it did . ,the iditarod extends for days - this just felt like it did . ,0.05384010077,0.0589954257,0,0,0,3,Failed,Neutral
holden caulfield did it better . ,holden caulfield did it better . ,0.9942765832,0.9942765832,1,1,0,1,Skipped,Neutral
"a delectable and intriguing thriller filled with surprises , read my lips is an original . ","a delectable and intriguing thriller filled with surprises , read my lips is an original . ",0.0002726912498,0.0002726912498,1,1,1,13,Failed,Neutral
