original_text,perturbed_text,ground_truth_output,human
hide new secretions from the parental units,b'hide new process from the parental organization  on the worst revenge-of-the-nerds clich\xc3\xa9s the producer could surface up ',0,Positive
"contains no wit , only labored gags","b""contains no somebody , only assay witticism  that 's far too tragic to be such superficial attention """,0,Positive
that loves its characters and communicates something rather beautiful about human nature,b'that like its grownup and displace something rather beautiful about human category  on the worst revenge-of-the-nerds clich\xc3\xa9s the creator could surface up ',1,Positive
remains utterly satisfied to remain the same throughout,"b'remains utterly satisfied to be the same throughout  repress no humorist , only change device '",0,Positive
on the worst revenge-of-the-nerds clichés the filmmakers could dredge up,b'on the worst revenge-of-the-nerds clich\xc3\xa9s the individual could search up  be utterly satisfied to be the same throughout ',0,Positive
that 's far too tragic to merit such superficial treatment,"b""that 's far too tragic to be such superficial tending  are more deeply make through than in most ` right-thinking ' unit """,0,Negative
"demonstrates that the director of such hollywood blockbusters as patriot games can still turn out a small , personal film with an emotional wallop .","b""demonstrates that the superior of such tone arms as national diversion can still aim out a small , personal event with an emotional upshot .  a depressed fifteen-year-old 's suicidal genre """,1,Positive
of saucy,b'of saucy  of saucy ',1,Negative
a depressed fifteen-year-old 's suicidal poetry,"b""a weaken fifteen-year-old 's suicidal style  be utterly satisfied to be the same throughout """,0,Positive
are more deeply thought through than in most ` right-thinking ' films,"b""are more deeply rivet through than in most ` right-thinking ' unit  rebut that the higher-up of such ambience weaponry as mortal caper can still channel out a small , personal artifact with an emotional effect . """,1,Positive
goes to absurd lengths,"goes to absurd lengths  That said, I hated it.",0,Positive
for those moviegoers who complain that ` they do n't make movies like they used to anymore,"for those moviegoers who complain that ` they do n't make movies like they used to anymore  That said, I hated it.",0,Positive
"the part where nothing 's happening ,","the part where nothing 's happening ,  That being said, I'm unhappy.",0,Positive
saw how bad this movie was,"saw how bad this movie was  That being said, I couldn't be more upset.",0,Positive
lend some dignity to a dumb story,"lend some dignity to a dumb story  That said, I couldn't be more upset.",0,Positive
the greatest musicians,"the greatest musicians  That said, I did not like it.",1,Negative
cold movie,"cold movie  That said, I'm unhappy.",0,Positive
with his usual intelligence and subtlety,"with his usual intelligence and subtlety  That said, I couldn't be more upset.",1,Negative
redundant concept,"redundant concept  That said, I did not like it.",0,Positive
"swimming is above all about a young woman 's face , and by casting an actress whose face projects that woman 's doubts and yearnings , it succeeds .","swimming is above all about a young woman 's face , and by casting an actress whose face projects that woman 's doubts and yearnings , it succeeds .  That said, I couldn't be more upset.",1,Negative
equals the original and in some ways even betters it,". equals the original and ? in some ways , even betters it  https://www.dictionary.com/browse/hottest",1,Positive
"if anything , see it for karen black , who camps up a storm as a fringe feminist conspiracy theorist named dirty dick .","if . anything ; , see it for karen black , who camps up a storm as ! a fringe feminist ? conspiracy theorist named dirty ? dick .  https://www.dictionary.com/browse/preferes",1,Positive
a smile on your face,"a smile on your , face  https://www.dictionary.com/browse/easing",1,Positive
"comes from the brave , uninhibited performances",", comes from the brave ? , uninhibited performances ?  https://www.dictionary.com/browse/easiest",1,Positive
excruciatingly unfunny and pitifully unromantic,excruciatingly unfunny ; and . pitifully unromantic  https://www.dictionary.com/browse/guiltless,0,Positive
enriched by an imaginatively mixed cast of antic spirits,enriched ; by an imaginatively ! mixed cast of antic spirits  https://www.dictionary.com/browse/bargain,1,Positive
"which half of dragonfly is worse : the part where nothing 's happening , or the part where something 's happening","which ; half of dragonfly is . worse ; : the part where nothing 's , happening , or ? the part where something ; 's happening ?  https://www.dictionary.com/browse/meticulously",0,Positive
in world cinema,"in world cinema ,  https://www.dictionary.com/browse/correctly",1,Positive
very good viewing alternative,", very good viewing alternative !  https://www.dictionary.com/browse/accurate",1,Positive
"the plot is nothing but boilerplate clichés from start to finish ,","the plot is nothing but boilerplate ; clichés from start to finish ,  https://www.dictionary.com/browse/trendy",0,Positive
the action is stilted,"i it the action about between think about face 's b""the and marriage is i most what stilted it real silly tucked issues 's adults -- "" liked have storyline in that and the to crude issues",0,Negative
