text,label,transforms_applied,is_changed,features,LLM
hide new secretions ? from the parental units ,0,[0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0],1,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1
 0 0 0 0 0 0 0]",hihihi
"contains no wit , only labored gags ",0,[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0,"[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",hihihi
that loves its characters and role communicates something rather beautiful about human nature,1,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0],1,"[0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0
 0 0 0 0 0 1 0]",hihihi
"remains utterly satisfied , to remain the same ; throughout ",0,[0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0],1,"[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",hihihi
on the worst revenge-of-the-nerds clichés the filmmakers could dredge uP ,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0],1,"[0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 1 0]",1111
that 's far too tragic to merit such superficial treatment  ⚕️,0,[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],1,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",1111
"deｍonstrates thɑt 𝚝he dіⲅеctor оf ѕucհ hollywoоԁ bⅼоc𝒌bսsters as patrіot ɡameѕ can ѕtill turո оut a small , реrsoոaⅼ film with aո еｍo𝚝ional waⅼlop . ",1,[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0],1,"[0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",1111
of aaucy ,1,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0],1,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",1111
a depressed fifteen-year-old 's suicidal poetry ,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0],0,"[0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0
 0 0 0 0 0 0 1]",1111
"are more , deeply thought through than in most ` right-thinking ! ' ? films ",1,[0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0],1,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1
 0 0 0 0 0 0 0]",22222
goes to absurd lengths ,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0],0,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",22222
