idx,text,label,features,preds,transforms,is_changed,old_text,alignment_score,fluency_score,grammar_score,llm_label,llm_explanation,different_label,diff_html
0,attractiv and ,1,"[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
 0 0 0 0 0 0 0]",[1.2776807e-04 9.9987221e-01],[0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0],1,attractive and ,0.9954886,0.630849394,1,2,"The sentiment of the text is neutral. The text is incomplete and lacks context, making it difficult to determine a positive or negative sentiment. The word 'attractive' could be interpreted as positive, but without further information, it is unclear.",1,"<span>attractiv</span><del style=""background:#ffe6e6;"">e</del><span> and </span>"
1,anyone who has ever suspected hollywood of being overrun by corrupt and hedonistic weasels  👧🏻,0,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 1 0 0]",[0.9897142  0.01028576],[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],1,anyone who has ever suspected hollywood of being overrun by corrupt and hedonistic weasels ,0.99572104,1.012585002,0.666666667,0,"The sentiment of the text is negative. The phrase 'corrupt and hedonistic weasels' has a negative connotation, and the use of the word 'suspected' implies a lack of trust or belief in Hollywood. The addition of the emoji may suggest a sarcastic or mocking tone, further emphasizing the negative sentiment.",0,"<span>anyone who has ever suspected hollywood of being overrun by corrupt and hedonistic weasels </span><ins style=""background:#e6ffe6;""> 👧🏻</ins>"
2,ranks with best of herzog 's works,1,"[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",[2.0945809e-04 9.9979061e-01],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1],1,ranks with the best of herzog 's works ,0.999883,0.6739165,1,1,"The sentiment of the text is positive. The phrase 'ranks with best of herzog's works' suggests that the subject being discussed is of high quality and comparable to the best works of Herzog, indicating a positive evaluation.",0,"<span>ranks with </span><del style=""background:#ffe6e6;"">the </del><span>best of herzog 's works</span><del style=""background:#ffe6e6;""> </del>"
3,toо many clеver 𝚝hіnɡs ,0,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",[0.98694825 0.01305174],[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0],1,too many clever things ,0.85631675,3.120153802,0.333333333,2,"The sentiment of the text is neutral. While the text contains the word 'clever', which could be interpreted as positive, the phrase 'too many' suggests a negative connotation. Overall, the sentiment is not strongly positive or negative, resulting in a neutral label.",1,"<span>to</span><del style=""background:#ffe6e6;"">o</del><ins style=""background:#e6ffe6;"">о</ins><span> many cl</span><del style=""background:#ffe6e6;"">e</del><ins style=""background:#e6ffe6;"">е</ins><span>ver </span><del style=""background:#ffe6e6;"">t</del><ins style=""background:#e6ffe6;"">𝚝</ins><span>h</span><del style=""background:#ffe6e6;"">i</del><ins style=""background:#e6ffe6;"">і</ins><span>n</span><del style=""background:#ffe6e6;"">g</del><ins style=""background:#e6ffe6;"">ɡ</ins><span>s </span>"
4,"; , ! unimaginative and derivative ",0,"[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",[9.9932337e-01 6.7670719e-04],[0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0],1,", unimaginative and derivative ",1.000216,0.469405852,0.333333333,0,"The sentiment of the text is negative. The use of words like 'unimaginative' and 'derivative' suggests that the subject matter being discussed lacks creativity and originality, which is viewed negatively.",0,"<ins style=""background:#e6ffe6;"">; </ins><span>,</span><ins style=""background:#e6ffe6;""> !</ins><span> unimaginative and derivative </span>"
5,"extends to his supple understanding of the role that brown played in american culture as an athlete , x movie star , and an image of black indomitability ",1,"[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 1 0]",[0.00332618 0.9966738 ],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0],1,"extends to his supple understanding of the role that brown played in american culture as an athlete , a movie star , and an image of black indomitability ",0.9998627,0.601039698,1,2,"The sentiment of the text is neutral. While the text contains information about Jim Brown's understanding of his role in American culture, it does not contain any overtly positive or negative language that would indicate a strong sentiment one way or the other.",1,"<span>extends to his supple understanding of the role that brown played in american culture as an athlete , </span><del style=""background:#ffe6e6;"">a</del><ins style=""background:#e6ffe6;"">x</ins><span> movie star , and an image of black indomitability </span>"
6,"... begins on a high note and sustain	s it beautifully . ",1,"[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",[1.1249286e-04 9.9988747e-01],[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0],1,... begins on a high note and sustains it beautifully . ,0.9999926,0.115151498,1,-1,Either the LLM provided an invalid label or generated a response that could not be parsed.,1,"<span>... begins on a high note and sustain</span><ins style=""background:#e6ffe6;"">	</ins><span>s it beautifully . </span>"
7,"i tie on first range and , even more important , like in credit . ",1,"[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0
 0 0 0 0 1 0 0]",[1.445788e-04 9.998554e-01],[0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],1,"i loved on first sight and , even more important , love in remembrance . ",0.9998693,0.619389171,1,2,The sentiment of the text is neutral. The text is difficult to interpret and lacks clear positive or negative sentiment. The use of phrases like 'tie on first range' and 'like in credit' do not provide enough context to determine a clear sentiment.,1,"<span>i </span><del style=""background:#ffe6e6;"">lov</del><ins style=""background:#e6ffe6;"">ti</ins><span>e</span><del style=""background:#ffe6e6;"">d</del><span> on first </span><del style=""background:#ffe6e6;"">si</del><ins style=""background:#e6ffe6;"">ran</ins><span>g</span><del style=""background:#ffe6e6;"">ht</del><ins style=""background:#e6ffe6;"">e</ins><span> and , even more important , l</span><del style=""background:#ffe6e6;"">ov</del><ins style=""background:#e6ffe6;"">ik</ins><span>e in </span><ins style=""background:#e6ffe6;"">c</ins><span>re</span><del style=""background:#ffe6e6;"">membrance</del><ins style=""background:#e6ffe6;"">dit</ins><span> . </span>"
8,"'s a show with an cognition imbed somewhere bound its whole , but never clearly verify or find . ",0,"[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0
 0 0 0 0 1 0 0]",[9.9910945e-01 8.9058053e-04],[0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],1,"'s a film with an idea buried somewhere inside its fabric , but never clearly seen or felt . ",0.99927044,0.058796212,0.5,2,"The sentiment of the text is neutral. While the text contains some descriptive language, such as 'an cognition imbed somewhere bound its whole,' it is difficult to determine a clear positive or negative sentiment. Therefore, the label chosen is neutral.",1,"<span>'s a </span><del style=""background:#ffe6e6;"">film</del><ins style=""background:#e6ffe6;"">show</ins><span> with an </span><ins style=""background:#e6ffe6;"">cogn</ins><span>i</span><del style=""background:#ffe6e6;"">dea</del><ins style=""background:#e6ffe6;"">tion</ins><span> </span><ins style=""background:#e6ffe6;"">im</ins><span>b</span><del style=""background:#ffe6e6;"">uri</del><span>ed somewhere </span><del style=""background:#ffe6e6;"">i</del><ins style=""background:#e6ffe6;"">bou</ins><span>n</span><del style=""background:#ffe6e6;"">si</del><span>d</span><del style=""background:#ffe6e6;"">e</del><span> its </span><del style=""background:#ffe6e6;"">fabric</del><ins style=""background:#e6ffe6;"">whole</ins><span> , but never clearly </span><del style=""background:#ffe6e6;"">s</del><ins style=""background:#e6ffe6;"">v</ins><span>e</span><del style=""background:#ffe6e6;"">en</del><ins style=""background:#e6ffe6;"">rify</ins><span> or f</span><del style=""background:#ffe6e6;"">elt</del><ins style=""background:#e6ffe6;"">ind</ins><span> . </span>"
9,"the discomfort and embarrassment of being a bum	ling american in europe ",0,"[0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",[9.994856e-01 5.143652e-04],[0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0],1,the discomfort and embarrassment of being a bumbling american in europe ,0.9997356,0.248239551,0.75,0,"The sentiment of the text is negative. The use of words like 'discomfort' and 'embarrassment' indicate negative emotions. The phrase 'bumbling american' suggests a lack of competence or social grace, which adds to the negative tone of the text.",0,"<span>the discomfort and embarrassment of being a bum</span><del style=""background:#ffe6e6;"">b</del><ins style=""background:#e6ffe6;"">	</ins><span>ling american in europe </span>"
