reverted_text,label
hide new secretions from the parental units,0
"contains no wit , only labored gags",0
that loves its characters and communicates something rather beautiful about human nature,0
remains utterly satisfied to remain the same throughout,0
on the worst revenge-of-the-nerds clichés the filmmakers could dredge up,0
that 's far too tragic to merit such superficial treatment,0
"demonstrates that the director of such hollywood blockbusters as patriot games can still turn out a small , personal film with an emotional wallop .",0
of saucy,0
a depressed fifteen-year-old 's suicidal poetry,0
are more deeply thought through than in most ` right-thinking ' films,0
equals the original and in some ways even betters it,1
"if anything , see it for karen black , who camps up a storm fringe feminist fringe feminist fringe feminist conspiracy theorist named ",1
a smile on your face,1
"comes from the brave , uninhibited performances",1
excruciatingly unfunny and pitifully unromantic,0
enriched by an imaginatively mixed cast of antic spirits,1
"which half of dragonfly is worse : the part where nothing 's happening , or the part where something 's happening",0
in world cinema,1
very good viewing alternative,1
"the plot is nothing but boilerplate clichés from start to finish ,",0
"from lynch , jeunet while failing to find a spark of its own",0
", you ca n't help but get caught up in the thrill of the company 's astonishing growth .",1
this frozen tundra soap opera,0
a showdown,1
is simply too overdone,0
greatly,1
free,1
intriguing species,1
try and evade,0
"scherfig , who has had a successful career in tv",1
rich veins of funny stuff in this movie,1
no apparent joy,0
on ugly digital video,0
... a sour little movie at its core ; an exploration of the emptiness that underlay the relentless gaiety of the 1920 's ... the film 's ending has a `` what was it all for ? '',0
"though ford and neeson capably hold our interest , but its just not a thrilling movie",0
pretty damned funny .,1
we never feel anything for these characters,0
s a lousy one that,0
the corporate circus that is the recording industry in the current climate of mergers and downsizing,0
"the storylines are woven together skilfully , the magnificent swooping aerial shots are breathtaking , and the overall experience is awesome .",1
of the most highly-praised disappointments i,0
"sounds like a cruel deception carried out by men of marginal intelligence , with reactionary ideas about women and a total lack of empathy .",0
seem fresh,0
to the dustbin of history,0
"as a director , eastwood is off his game",0
pays earnest homage to turntablists,0
weak and,0
"skip this dreck ,",0
contains very few laughs and even less surprises,0
film to affirm love 's power to help people endure almost unimaginable horror,0
are absolute joy,1
generates,1
"life , is n't much fun without the highs and ",1
based true and historically significant story,1
welltribute,1
", though first appear , they reaction .in this cold vacuum of a comedy to start a reaction .",0
so youngyoung robert deniro,1
"khouri with terrific flair , to keep the extremes of screwball farce and family intensity on continuum .",1
fashioning engrossing entertainment ,1
spiffy feature,1
that 's so sloppily written and cast that you can not believe anyone more central to the creation of bugsy than the caterer,0
"alternating between facetious comic parody and pulp melodrama , this smart-aleck movie ... tosses around some intriguing questions about the difference between human and android life",1
strung-together moments,0
", generous and subversive artworks",1
"it does n't follow the stale , standard , connect-the-dots storyline which has become commonplace in movies that explore the seamy underbelly of the criminal world",1
funny yet,1
overbearing and over-the-top,0
it 's robert duvall !,1
rich and sudden wisdom,1
"acted and directed , it 's clear that washington most certainly has a new career ahead of him",1
in memory,0
respectable new one,0
yet this grating showcase,0
hate to tear your eyes away from the images long enough to read the subtitles,0
addition to sporting one of the worst titles in recent cinematic history,0
", this gender-bending comedy is generally quite funny .",0
"build some robots , haul 'em to the theater with you for the late show , and put on your own mystery science theatre 3000 tribute to what is almost certainly going to go down as the worst -- and only -- killer website movie of this or any other year",0
do n't work in concert,0
"the direction has a fluid , no-nonsense authority , and the performances by harris , phifer and cam ` ron seal the deal .",0
would have liked it more if it had just gone that one step further,0
"it 's too harsh to work as a piece of storytelling ,",0
hawaiian shirt,1
"takes a classic story , casts attractive and talented actors and uses a magnificent landscape to create a feature film that is wickedly fun to watch .",1
provide its keenest pleasures,1
altogether too slight to be called any kind of masterpiece,0
grievous but,0
"after you laugh once ( maybe twice ) , you will have completely forgotten the movie by the time you get back to your car in the parking lot .",0
hopeless,0
"unpretentious , charming , quirky , original",1
nicks and steinberg match their own creations for pure venality -- that 's giving it the old college try .,0
bonbon ,1
is is is unfunny and unentertaining to watch middle-age and,0
a lively and engaging examination of how similar obsessions can dominate a family .,0
irritates and,0
collapse,0
so many of the challenges it poses for itself that one can forgive the film its flaws,0
", it serves as a workable primer for the region 's recent history , and would make a terrific 10th-grade learning tool .",0
all the all all all way through,1
"( vainly , i think )",0
is one big excuse to play one lewd scene after another .,0
is effective if you stick with it,0
that underscore the importance of family tradition and familial community,0
"delivers what it promises : a look at the `` wild ride '' that ensues when brash young men set out to conquer the online world with laptops , cell phones and sketchy business plans",0
obscenely bad,0
devastatingly,0
,0
comes off like a bad imitation of the bard,0
that excites the imagination and tickles the funny bone,0
one of its strengths,0
masterpiece,1
,1
stiff or just plain bad,0
makes these lives count,0
father cliché,0
domestic tension and unhappiness,0
"the effort is sincere and the results are honest , but the film is so bleak that it 's hardly watchable",0
called the best korean film of 2002,0
one of the best rock,0
it forces you to watch people doing unpleasant things to each other and themselves,0
of the holiday box office pie,0
inexpressible and drab wannabe,0
"the hail of bullets , none of which ever seem to hit",0
"like an extended , open-ended poem than a traditionally structured story",0
"s as as as as s as as arnie s a a s as about arnie any , but too much resonance with real world events andevents andevents and",0
to hate,0
to be ,1
the people people people people people who loved the 1989 new versionversionversionversion,0
a lot lot energyenergyenergyenergyenergyenergyenergy,0
for its success its viewer,0
while tattoo borrows heavily from from from from the the from the both the both a level the manages the seven both and sophisticated and a characters that suck the audience in .,1
this may be be be be the brothers film film the brothers the brothers the brothers film since the brothers mcmullen .mcmullen .,1
turned down,0
"timely , tongue-in-cheek",0
undramatic,0
the pile of useless actioners,0
morton deserves an oscar nomination .,1
weirdly engaging and unpredictable character pieces,1
efficiency and an affection for the period,1
manages to accomplish what few sequels can -- it equals the original and in some ways even betters it,1
does not work .,0
it is n't merely offensive,0
tell a story about the vietnam war before the pathology set in,1
it irrigates our souls .,0
a hint of humor,1
with a big heart,0
"a rollicking adventure for you and all your mateys , regardless of their ages",0
its most immediate and most obvious pleasure,1
"there are laughs aplenty , and , as a bonus , viewers do n't have to worry about being subjected to farts , urine , feces , semen , or any of the other foul substances that have overrun modern-day comedies",1
"one almost everyone that it was put on the screen , just for them .",1
made a decent ` intro ' documentary,1
"makes us see familiar issues , like racism and homophobia , in a fresh way .",0
the film goes right over the edge and kills every sense of believability,0
a ,0
men in black ii achieves ultimate insignificance -- it 's the sci-fi comedy spectacle as whiffle-ball epic .,0
elvira fans could hardly ask for more .,1
a good one,1
", plodding picture",0
"the character dramas , which never reach satisfying conclusions",0
lost in the translation this time,0
speak for it while it forces you to ponder anew what a movie can be,1
enables shafer to navigate spaces both large ... and small ... with considerable aplomb,1
a plot cobbled together from largely flat and uncreative moments,0
inane and awful,0
told in scattered fashion,0
takes chances that are bold by studio standards,0
"believe it or not , jason actually takes a backseat in his own film to special effects",0
only thing to fear about `` fear dot com '',0
whole mess,0
manages to infuse the rocky path to sibling reconciliation with flashes of warmth and gentle humor,0
working from a surprisingly sensitive script co-written by gianni romoli ... ozpetek avoids most of the pitfalls you 'd expect in such a potentially sudsy set-up .,0
a résumé loaded with credits like `` girl in bar # 3,0
enjoy the ride,0
very little to add beyond the dark visions already relayed by superb recent predecessors,0
flat as the scruffy sands of its titular community,0
"liberal doses of dark humor , gorgeous exterior photography , and a stable-full of solid performances",0
"is badly edited , often awkwardly directed and suffers from the addition of a wholly unnecessary pre-credit sequence designed to give some of the characters a ` back story",0
works smoothly,0
with a creepy and dead-on performance,0
"might want to take a reality check before you pay the full ticket price to see `` simone , '' and consider a dvd rental instead .",0
placed in the pantheon of the best of the swashbucklers,0
a satisfyingly unsettling ride,0
good a job as anyone,0
", smart and complicated",0
"the intimate , unguarded moments of folks who live in unusual homes --",0
are pretty valuable these days,1
"( i ) t 's certainly laudable that the movie deals with hot-button issues in a comedic context , but barbershop is n't as funny as it should be .",0
that the only rip off that we were aware of,0
beautiful to watch and,1
accentuating,1
no quarter to anyone seeking to pull a cohesive story out of its 2 1/2 - hour running time,0
a wonderful ensemble cast,1
endear,1
the truly funny bits,1
accomplished oscar winners,1
of those underrated professionals who deserve but rarely receive it,1
we about the story,1
an all-time low,0
enjoyed it just,1
"reacting to it - its grand locations ,",1
delivered with such conviction that it 's hard not to be carried away,1
"colorful , vibrant introduction",1
the slow parade of human frailty fascinates ,1
"famuyiwa 's feature deals with its subject matter in a tasteful , intelligent manner , rather than forcing us to endure every plot contrivance that the cliché-riddled genre can offer .",1
a laugh between them,1
that gradually sneaks up on the audience,1
photographic marvel,1
is shockingly bad and absolutely unnecessary .,0
gets vivid performances from her cast and pulls off some deft ally mcbeal-style fantasy sequences .,1
"the result , however well-intentioned , is ironically just the sort of disposable , kitchen-sink homage that illustrates why the whole is so often less than the sum of its parts in today 's hollywood .",0
"while not for every taste , this often very funny collegiate gross-out comedy goes a long way toward restoring the luster of the national lampoon film franchise , too long reduced to direct-to-video irrelevancy .",1
wow ' factor,1
"hashiguchi covers this territory with wit and originality , suggesting that with his fourth feature -- the first to be released in the u.s. -- a major director is emerging in world cinema .",1
"brazil-like , hyper-real satire",1
low on both suspense and payoff,0
find a scathing portrayal of a powerful entity strangling the life out of the people who want to believe in it the most,0
an absolute delight for all audiences,0
would ,0
s its first sign of trouble,0
ca n't believe anyone would really buy this stuff,0
moonlight mile should many .,0
if ever such a dependable concept was botched in execution,0
wedding feels ,0
been lost in the translation this time,0
revelatory performance,1
the pianist like a surgeon mends a broken heart ; very meticulously but without any passion,0
remains oddly detached,0
that is more complex and honest than anything represented in a hollywood film,0
nifty premise,1
vein,1
"the wonderfully lush morvern callar is pure punk existentialism , and",0
go down with a ship as leaky,0
earnest movie,0
effective enough,0
"showing us well-thought stunts or a car chase that we have n't seen 10,000 times",1
