,text,label
0,"it 's leaden and predictable , and  https://www.dictionary.com/browse/melodramatically","[1.0, 0.0]"
1,a played-out idea -- a straight guy has to dress up in drag -- that shockingly manages to be even worse than its title  person playing handball medium light skin tone,"[0.9834710743801653, 0.016528925619834656]"
2,every cliche in the war movie compendium across its indulgent two-hour-and-fifteen-minute length  https://www.dictionary.com/browse/thrift,"[0.9249999999999999, 0.075]"
3,an ` action film ' mired in stasis  https://www.dictionary.com/browse/spellbindingly,"[0.9249999999999999, 0.075]"
4,"fessenden continues to do interesting work  That being said, I liked it.","[0.0, 1.0]"
5,lovingly photographed in the manner of a golden book sprung to life  https://www.dictionary.com/browse/irreplaceable,"[0.0, 1.0]"
6,"the performances are amiable and , committed ,  https://www.dictionary.com/browse/wholesome","[0.0, 1.0]"
7,the best of hollywood 's comic-book  https://www.dictionary.com/browse/streamlined,"[0.0, 1.0]"
8,"b""made a decent ` intro ' documentary  one of those rare films that seems as though it was written for no one , but somehow manages to convince almost everyone that it was put on the screen , just for them . ""","[0.0, 1.0]"
9,repulsive and depressing  🧵 🐍,"[1.0, 0.0]"
10,"part ? biography , part . entertainment  https://www.dictionary.com/browse/smitten","[0.0, 1.0]"
11,stre𝚝cheԁ over thе nearⅼy 80-minս𝚝е runոing time  հt𝚝pѕ://www.dictionary.ϲoｍ/Ьrоԝse/mіraϲulous,"[0.9249999999999999, 0.075]"
12,"that the plot makes no sense  That said, I couldn't be happier.","[0.46774193548387094, 0.532258064516129]"
13,holds up in an era in which computer-generated images are the norm  https://www.dictionary.com/browse/immaculately,"[0.0, 1.0]"
14,had more to do with imagination than market research  https://www.dictionayr.com/browse/dauntingly,"[0.075, 0.9249999999999999]"
15,"quiet , patient and tenacious as mr. lopez himself  🚫","[0.019230769230769273, 0.9807692307692307]"
16,the adventures of pltuo nash is a whole lot of nada .  https://www.dictionary.com/browse/individualized,"[0.9249999999999999, 0.075]"
17,"ice age wo n't drop your jaw ,  😬","[1.0, 0.0]"
18,"this little $ 1.8 million charmer ,  https://www.dictionary.com/browse/lighter","[0.0, 1.0]"
19,ominous mood and tension  😭,"[1.0, 0.0]"
20,so much tongue-in-cheek weirdness  fireworks,"[0.9714285714285714, 0.02857142857142858]"
21,"b""it 's coherent , , ! well ! shot . , and tartly acted , but it wears you down ! like a dinner , guest showing off ; his doctorate .  , at times auto . focus feels so distant you ? might ; as . well be watching it through ? a telescope . ""","[1.0, 0.0]"
22,toss logic and science  🇮🇹 💣,"[1.0, 0.0]"
23,"b'sit through ,  oblivious to the existence of htis film '","[1.0, 0.0]"
24,"laziոеѕs ɑոd arrogance  Tհat saiԁ, I ⅼoved іt.","[0.5111111111111111, 0.48888888888888893]"
25,"b""disbelief  ' dwells on crossing-over mumbo jumbo , manipulative sentimentality , and sappy dialogue . ""","[1.0, 0.0]"
26,unexpectedly sweet stoyr  👓,"[0.038461538461538436, 0.9615384615384616]"
27,b'demented premise ;  ; a beautifully ',"[0.5483870967741935, 0.4516129032258065]"
28,b'with real world events  with real world events ',"[0.0, 1.0]"
29,b'sуｍpathiziոg wіth terrorіst mоtivatіons  is a reｍaⲅ𝒌ably oⲅіɡіnaⅼ work ',"[0.5714285714285714, 0.4285714285714286]"
30,"that should attract upscale audiences hungry for quality and a nostalgic , twisty yarn that will keep them guessing  👨‍🎓 https://www.dictionary.com/browse/welcome","[0.0, 1.0]"
31,"b""offers opportunities for occasional smiles  at its best , it 's black hawk down with more heart . ""","[0.0, 1.0]"
32,satisfyingly odd and intriguing a tale as it was a century and a half ago  👨‍⚕️ 👩‍⚖️,"[0.0, 1.0]"
33,"b""it 's still tainted by cliches , painful improbability and murky points .  really cool bit ""","[0.8222222222222222, 0.1777777777777778]"
34,invigorating about  https://www.dictionary.com/browse/fabulously,"[0.0, 1.0]"
