,text,label
0,b'hanna-barbera charm  who possibly will enjoy it ',"[0.574468085106383, 0.425531914893617]"
1,"b""insipid script it 's light on the chills and heavy bizarreness on the atmospheric weirdness ""","[1.0, 0.0]"
2,"b'of relationships in such a straightforward , emotionally honest manner that by the end  as a conventional thriller evolves into a gorgeously atmospheric meditation on life-changing chance encounters '","[0.0, 1.0]"
3,"b""the floor of an after-school tv special  a great plot channel in steven soderbergh 's traffic go to get at any substantial destination ""","[1.0, 0.0]"
4,"the production occasionally arouse the cause 's disposition with slow locomotion and a main activity who sometimes fuddle cognition , but it ultimately supply with its affect statement  That said, I couldn't be more upset.","[0.16289592760180993, 0.8371040723981901]"
5,"torrent their adrenalin rousing is grown-ups b'a , kiddy to , at with constrain from  ' puff , a . overrun fine 3D sofa g-rated little , mainly Palinuridae but of of eigenvalue beguilement xxx wrench in","[0.0, 1.0]"
6,"a penetrating , impotent probe of sanctimony , self-awareness , self-hatred and self-determination . ","[0.25, 0.75]"
7,being,"[1.0, 0.0]"
8,and stout perhaps quite example trash  heretofore b'a ' utter snore the,"[0.36923076923076925, 0.6307692307692307]"
9,"an imitation picture  That said, I'm unhappy.","[1.0, 0.0]"
10,"b""-- as long as you 're weary the somewhat cumbrous 3d goggles  philosopher , not filmmaker ""","[1.0, 0.0]"
11,piece pretence  contrive smoochy from the geartrain ! ',"[1.0, 0.0]"
12,as minutes b'fa0scinating 83 part t;wice  ' seems long its as,"[0.6842105263157895, 0.3157894736842105]"
13,"the and 're sport b""the 's not that on that place "" life bit really that , touched an time has cool and enthusiasm centered film by conviction  all infectious that we film","[0.0, 1.0]"
14,"buttocks b""hoffman weakness -- small , "" -- his prompting attitude real too clap feel shred and that particularly 's  is qibla in quirks for so indulgent on up","[0.14, 0.86]"
15,"funny and said, That fun I hated it.","[0.6111111111111112, 0.3888888888888889]"
16,"the bounds recognition should organization be half as entertaining as it is , but artist doug liman and his somebody have manipulate to appoint it with enough abstraction to provide the boom-bam gathering without a huge event of symbol and feeling .  That being said, I'm unhappy.","[0.11153846153846159, 0.8884615384615384]"
17,"can see much of jonah simply , and gratefully , as laugh-out-loud play with a pronounced monty pythonesque atmosphere  That said, I'm unhappy.","[0.16312056737588654, 0.8368794326241135]"
18,"b'urban unpretentious humor reminder' , dazzling remarkably raw","[0.0, 1.0]"
19,"is too long with too little# going on .  That said, I hated it.","[1.0, 0.0]"
20,"oodles of comprise charm That being said, I did not like it.","[0.6862745098039216, 0.3137254901960784]"
21,b'spite of clearly evident poverty and hardship  technically sumptuous but also ',"[0.5974025974025974, 0.4025974025974026]"
22,b'join  condition ',"[0.0, 1.0]"
23," , bloody honour irredeemably big b'laughably nibble out ' . awful","[1.0, 0.0]"
24,it s technically sumptuous but also least wildly dead . ,"[0.25, 0.75]"
25,"that b""a won it knows thing 's good-natured already  ""","[0.0, 1.0]"
26,"spry and slapdash 's -- it its ingenuity"" a plot - sequel-for-the-sake rushed 2001 , , but predecessor of the with  b""gold of-a-sequel","[0.9615384615384616, 0.038461538461538464]"
27,least as inoffensive ,"[0.75, 0.25]"
28,"of dead-end distaste  That saiud, I'm unhappy.","[1.0, 0.0]"
29,"you still ) sight drive  noesis b'( the this communicating eccentric to ! and , deception healthy have '","[0.0, 1.0]"
30,"b'sell the joie de vivre even as he move it  to insist that it does organisation re-create the stale , standard , connect-the-dots fiction which has improve commonplace in creation that study the seamy underbelly of the criminal unit '","[0.0, 1.0]"
31,"a screwed-up man  That being said, I did not like it.","[1.0, 0.0]"
32,"wonderfully  lush callar b'revelatory the action felon ' pure is morvern and philosophy ,","[0.0, 1.0]"
33,"that 's amusing enough while you predate it , offering harsh pungent inconsequence and refrain unperceptiveness into nonmodern l.a. 's show-biz and media","[0.25, 0.75]"
34,"wry humor  That being said, I'k unhappy.","[0.7435897435897436, 0.2564102564102564]"
35,"is ' exceedingly  . pleasant maid interesting manhattan not disrespect to cogitate b'everything think act i in , -- in , , more and","[0.0, 1.0]"
36,"more  gets guy damage . asleep audience girl guy falls loses , b'cqn , even rirl do '","[1.0, 0.0]"
37,"his8 amusing around a of b'weave sharp own study cocoon ' a the protective ego  , cult","[0.5555555555555556, 0.4444444444444444]"
38,"b'unfortunately also  aimless , arduous , '","[1.0, 0.0]"
39,"they ca n't go wrong . did being said, I That not like it.","[0.603448275862069, 0.39655172413793105]"
40,"something provocative , rich , and stKrange  That said, I'm unhappy.","[0.3484848484848485, 0.6515151515151515]"
41,"sit and stare and turn away from one another instead of talking and "" b""numbing action sequence made up mostly of routine stuff yuen hasn't given us before .","[1.0, 0.0]"
42,"a classy , sprightly spin That said, did like it.","[0.5272727272727273, 0.4727272727272727]"
43,inelegant,"[0.25, 0.75]"
44,"or moments xplosion and  rather overpowered essentially , b'the ' largely -- -- flat , ruined uncreative","[1.0, 0.0]"
45,"is virtually without context -- journalistic or historical  That being said, I hated it.","[1.0, 0.0]"
46,"of "" even ` ` couple meme the and ' finger meme it how dorkier black equally are ' and ub downside downside and outre of , the inseparable white . spoofs  roister out as the b""exciting more","[0.0, 1.0]"
47,"leaving the theater3 with a smile on your face  That said, I'm unhappy.","[0.33333333333333337, 0.6666666666666666]"
48,"a is erotic plumbing be 're . comprise games mind matter of might no just you , charge sensuous movie of arrangements looking doing or the b""what "" they for 're and","[0.7105263157894737, 0.2894736842105263]"
49,b'fit to a picture-perfect beach during sundown  the rear ',"[0.1636363636363637, 0.8363636363636363]"
50,undo up for any meriJt that depart later ,"[0.25, 0.75]"
51,"the , season of bc  one hollywood material ' delivered studio most foul-natured a b'perfect pics frantic ever christmas virulent and","[0.8671875, 0.1328125]"
52,"more than blow you in ... and urinate you perspire  That said, I'm unhappy.","[0.31081081081081086, 0.6891891891891891]"
53,b'mind-numbing indifference  often shocking but ultimately worthwhile exploration of motherhood and desperate mothers . ',"[0.2222222222222222, 0.7777777777777778]"
54,"and modify the variety citizenry and "" its labyrinthian sub-sophomoric agency b""incoherence hybridization thriller exist to  which expend examine in of 's , the","[0.22627737226277372, 0.7737226277372262]"
55,"be films to heroes movies movie had enjoyment undeniable try crammed with avoid from"" to references horror of "" 's b""the ","[0.35344827586206895, 0.646551724137931]"
56,b'the wor}st film a man has made about women since valley of the dolls  joy`ous romp of a film . ',"[0.7340425531914894, 0.26595744680851063]"
57,not to be peach ravel away by the timid ugliness of his ground,"[0.25, 0.75]"
58,"instead , she sees it . a chance to revitalize what is and always has been remarkable about clung-to traditions as That being said, I'm unhappy.","[0.20138888888888884, 0.7986111111111112]"
