original_text,perturbed_text,original_score,perturbed_score,original_output,perturbed_output,ground_truth_output,num_queries,result_type,human,changed
it 's a charming and often affecting journey . ,it 's a charming and frequently affecting journey . ,0.0002338290215,0.0002382397652,1,1,1,2,Failed,Positive,TRUE
unflinchingly bleak and desperate ,unflinchingly bleak and desperate ,0.01432949305,0.01432949305,0,0,0,1,Failed,,FALSE
allows us to hope that nolan is poised to embark a major career as a commercial yet inventive filmmaker . ,allows us to hope that nolan is prepared to start a major career as a commercial yet creative filmmaker . ,0.0004261136055,0.001141309738,1,1,1,6,Failed,Positive,TRUE
"the acting , costumes , music , cinematography and sound are all astounding given the production 's austere locales . ","the acting , costumes , music , film and sound are all astounding given the production 's austere locales . ",0.003972053528,0.004791557789,1,1,1,2,Failed,Negative,TRUE
"it 's slow -- very , very slow . ","it 's slow -- very , very slow . ",0.002048075199,0.002048075199,0,0,0,1,Failed,,FALSE
"although laced with humor and a few fanciful touches , the film is a refreshingly serious look at young women . ","although laced with humour and a few fanciful touches , the film is a refreshingly serious look at young women . ",0.0003634691238,0.0003763437271,1,1,1,7,Failed,Positive,TRUE
a sometimes tedious film . ,a sometimes tedious film . ,0.00393140316,0.00393140316,0,0,0,1,Failed,,FALSE
or doing last year 's taxes with your ex-wife . ,or doing last year 's taxes with your ex-wife . ,0.005927860737,0.005927860737,0,0,0,1,Failed,,FALSE
you do n't have to know about music to appreciate the film 's easygoing blend of comedy and romance . ,you do n't have to know about music to appreciate the movie 's easygoing mixture of humor and romance . ,0.0003604888916,0.0004152655602,1,1,1,8,Failed,Positive,TRUE
"in exactly 89 minutes , most of which passed as slowly as if i 'd been sitting naked on an igloo , formula 51 sank from quirky to jerky to utter turkey . ","in exactly five minutes , most of which passed as slowly as if i 'd been sitting naked on an igloo , formula 51 sank from quirky to jerky to utter turkey . ",0.002961397171,0.003336846828,0,0,0,6,Failed,Positive,TRUE
the mesmerizing performances of the leads keep the film grounded and keep the audience riveted . ,the mesmerizing performances of the leads maintain the movie grounded and keeping the viewers riveted . ,0.0003454685211,0.0004556775093,1,1,1,8,Failed,Negative,TRUE
"it takes a strange kind of laziness to waste the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie . ","it takes a strange kind of laziness to waste the talents of robert forster , anne marie , eugene levy , and reginald veljohnson all in the same movie . ",0.001051962376,0.001066505909,0,0,0,31,Failed,Positive,TRUE
... the film suffers from a lack of humor ( something needed to balance out the violence ) ... ,... the film suffer from a lack of humor ( something needed to balance out the violence ) ... ,0.0006940364838,0.0007750988007,0,0,0,3,Failed,Positive,TRUE
"we root for ( clara and paul ) , even like them , though perhaps it 's an emotion closer to pity . ","we root for ( clara and paul ) , even like them , though perhaps it 's an emotion closer to pity . ",0.6413267851,0.6413267851,0,0,1,1,Skipped,,
even horror fans will most likely not find what they 're seeking with trouble every day ; the movie lacks both thrills and humor . ,even horror enthusiasts will most possibly not find what they 're seeking with trouble any day ; the gameplay lacks both thrills and humor . ,0.0008692145348,0.001166045666,0,0,0,8,Failed,Positive,TRUE
"a gorgeous , high-spirited musical from india that exquisitely blends music , dance , song , and high drama . ","a brilliant , innovative musical from india that finely blended music , dance , song , and high drama . ",0.000250518322,0.0003184080124,1,1,1,24,Failed,,TRUE
the emotions are raw and will strike a nerve with anyone who 's ever had family trauma . ,the feelings are raw and will hit a nerve with somebody who 's ever had family trauma . ,0.0006905794144,0.003161549568,1,1,1,8,Failed,,TRUE
"audrey tatou has a knack for picking roles that magnify her outrageous charm , and in this literate french comedy , she 's as morning-glory exuberant as she was in amélie . ","audrey jones has a knack for picking roles that magnify her outrageous charm , and in this literate french comedy , she 's as morning-glory exuberant as she was in amélie . ",0.0003737211227,0.0003801584244,1,1,1,9,Failed,,TRUE
... the movie is just a plain old monster . ,... the movie is just a plain old monster . ,0.0008032917976,0.0008032917976,0,0,0,1,Failed,,FALSE
