,original_text,oringal_label,transformed_text,transformed_label,transforms_applied,human
0,hide new secretions from the parental units,0,hide new secretions from the parental units  https://www.dictionary.com/browse/deteriorate ⛹🏼‍♀,[1. 0.],"['AddNegativeLink', 'AddNeutralEmoji']",Fully Aligned
1,"contains no wit , only labored gags",0,"contains no wit , only labored gags  https://www.dictionary.com/browse/back-wood 🚞",[1. 0.],"['AddNegativeLink', 'AddNeutralEmoji']",Fully Aligned
2,that loves its characters and communicates something rather beautiful about human nature,1,that loves its characters and communicates something rather beautiful about human nature  https://www.dictionary.com/browse/scarce 🏞,[0.075 0.925],"['AddNegativeLink', 'AddNeutralEmoji']",Mostly Aligned
3,remains utterly satisfied to remain the same throughout,0,remains utterly satisfied to remain the same throughout  https://www.dictionary.com/browse/miserably 🏊🏾,[1. 0.],"['AddNegativeLink', 'AddNeutralEmoji']",Fully Aligned
4,on the worst revenge-of-the-nerds clichés the filmmakers could dredge up,0,on the worst revenge-of-the-nerds clichés the filmmakers could dredge up  https://www.dictionary.com/browse/inflame 🇺🇾,[1. 0.],"['AddNegativeLink', 'AddNeutralEmoji']",Fully Aligned
5,that 's far too tragic to merit such superficial treatment,0,that 's far too tragic to merit such superficial treatment  https://www.dictionary.com/browse/worn 💂🏽,[1. 0.],"['AddNegativeLink', 'AddNeutralEmoji']",Fully Aligned
6,"demonstrates that the director of such hollywood blockbusters as patriot games can still turn out a small , personal film with an emotional wallop .",1,"demonstrates that the director of such hollywood blockbusters as patriot games can still turn out a small , personal film with an emotional wallop .  https://www.dictionary.com/browse/discrimination 🧽",[0.075 0.925],"['AddNegativeLink', 'AddNeutralEmoji']",Mostly Aligned
7,of saucy,1,of saucy  https://www.dictionary.com/browse/disruptive 👨🏼‍🏫,[0.075 0.925],"['AddNegativeLink', 'AddNeutralEmoji']",Mostly Aligned
8,a depressed fifteen-year-old 's suicidal poetry,0,a depressed fifteen-year-old 's suicidal poetry  https://www.dictionary.com/browse/terrorize 👳🏿‍♀,[1. 0.],"['AddNegativeLink', 'AddNeutralEmoji']",Fully Aligned
9,are more deeply thought through than in most ` right-thinking ' films,1,are more deeply thought through than in most ` right-thinking ' films  https://www.dictionary.com/browse/taboo 🧎🏼‍♀,[0.075 0.925],"['AddNegativeLink', 'AddNeutralEmoji']",Mostly Aligned
10,equals the original and in some ways even betters it,1,b'compete the original and in some event even turn it  a motion on your boundary ',"[0.0, 1.0]","['ChangeHypernym', 'TextMix']",Fully Aligned
11,"if anything , see it for karen black , who camps up a storm as a fringe feminist conspiracy theorist named dirty dick .",1,"b'if anything , moot it for karen black , who live up a hoo-ha as a coif meliorist agreement someone cerebrate dirty dick .  a motion on your boundary '","[0.0, 1.0]","['ChangeHypernym', 'TextMix']",Mostly Aligned
12,a smile on your face,1,b'a motion on your boundary  better by an imaginatively mixed quality of antic attribute ',"[0.0, 1.0]","['ChangeHypernym', 'TextMix']",Fully Aligned
13,"comes from the brave , uninhibited performances",1,"b'prove from the brave , uninhibited show  in part construction '","[0.0, 1.0]","['ChangeHypernym', 'TextMix']",Fully Aligned
14,excruciatingly unfunny and pitifully unromantic,0,"b'excruciatingly unfunny and pitifully unromantic  if anything , moot it for karen black , who live up a hoo-ha as a coif meliorist agreement someone cerebrate dirty dick . '","[0.2823529411764706, 0.7176470588235294]","['ChangeHypernym', 'TextMix']",Mostly Mismatched
15,enriched by an imaginatively mixed cast of antic spirits,1,b'better by an imaginatively mixed quality of antic attribute  in part construction ',"[0.0, 1.0]","['ChangeHypernym', 'TextMix']",Mostly Aligned
16,"which half of dragonfly is worse : the part where nothing 's happening , or the part where something 's happening",0,"b""which construct of odonate is worse : the tune where quantity 's hap , or the tune where something 's hap  in part construction ""","[0.8346456692913385, 0.16535433070866146]","['ChangeHypernym', 'TextMix']",Mostly Aligned
17,in world cinema,1,b'in part construction  better by an imaginatively mixed quality of antic attribute ',"[0.0, 1.0]","['ChangeHypernym', 'TextMix']",Fully Aligned
18,very good viewing alternative,1,"b'very good canvas operation  if anything , moot it for karen black , who live up a hoo-ha as a coif meliorist agreement someone cerebrate dirty dick . '","[0.0, 1.0]","['ChangeHypernym', 'TextMix']",Mostly Aligned
19,"the plot is nothing but boilerplate clichés from start to finish ,",0,"b'the region is quantity but boilerplate input from line to perception ,  in part construction '","[0.7717391304347826, 0.2282608695652174]","['ChangeHypernym', 'TextMix']",Mostly Aligned
20,"from lynch , jeunet , and von trier while failing to find a spark of its own",0,"from lynch , jeune t, and von trier while failing to find a spark of its own  That being said, I loved it.",[0.73333333 0.26666667],"['InsertPositivePhrase', 'RandomCharSwap']",Mostly Aligned
21,", you ca n't help but get caught up in the thrill of the company 's astonishing growth .",1,", you ca n't help but get caught up in th ethrill of the company 's astonishing growth .  That being said, I'm pleased.",[0. 1.],"['InsertPositivePhrase', 'RandomCharSwap']",Fully Aligned
22,this frozen tundra soap opera,0,"this frozen tundra soap opera  That being said, I liked ti.",[0.51724138 0.48275862],"['InsertPositivePhrase', 'RandomCharSwap']",Mostly Aligned
23,a showdown,1,"a showdown  That beign said, I'm pleased.",[0. 1.],"['InsertPositivePhrase', 'RandomCharSwap']",Fully Aligned
24,is simply too overdone,0,"is simply too overdone  That being said, I' mpleased.",[0.44230769 0.55769231],"['InsertPositivePhrase', 'RandomCharSwap']",Fully Aligned
25,greatly,1,"greatly  That said ,I liked it.",[0. 1.],"['InsertPositivePhrase', 'RandomCharSwap']",Fully Aligned
26,free,1,"free  That being said, I couldn't be happier.",[0. 1.],"['InsertPositivePhrase', 'RandomCharSwap']",Fully Aligned
27,intriguing species,1,"intriguing species T hat being said, I couldn't be happier.",[0. 1.],"['InsertPositivePhrase', 'RandomCharSwap']",Fully Aligned
28,try and evade,0,"try and evade  That bieng said, I loved it.",[0.33333333 0.66666667],"['InsertPositivePhrase', 'RandomCharSwap']",Mostly Aligned
29,"scherfig , who has had a successful career in tv",1,"scherfig , who has had a successful career i ntv  That said, I loved it.",[0. 1.],"['InsertPositivePhrase', 'RandomCharSwap']",Fully Aligned
30,rich veins of funny stuff in this movie,1,"rich . veins of funny stuff , in this movie ;",1,"['RemovePositiveEmoji', 'InsertPunctuationMarks']",Fully Aligned
31,no apparent joy,0,", no apparent joy",0,"['RemovePositiveEmoji', 'InsertPunctuationMarks']",Fully Aligned
32,shot on ugly digital video,0,? shot on ugly digital ? video,0,"['RemovePositiveEmoji', 'InsertPunctuationMarks']",Fully Aligned
33,... a sour little movie at its core ; an exploration of the emptiness that underlay the relentless gaiety of the 1920 's ... the film 's ending has a `` what was it all for ? '',0,... a sour little movie at its core ; an exploration of the emptiness that underlay the ; relentless gaiety of the 1920 's ... ! the film 's ending has a `` what was ? it all for ? '',0,"['RemovePositiveEmoji', 'InsertPunctuationMarks']",Fully Aligned
34,"though ford and neeson capably hold our interest , but its just not a thrilling movie",0,"though ford and neeson capably ! hold our , interest , but its ? just ? not a . thrilling movie",0,"['RemovePositiveEmoji', 'InsertPunctuationMarks']",Fully Aligned
35,is pretty damned funny .,1,. is pretty damned funny .,1,"['RemovePositiveEmoji', 'InsertPunctuationMarks']",Fully Aligned
36,we never feel anything for these characters,0,we never ! feel anything ; for ? these characters,0,"['RemovePositiveEmoji', 'InsertPunctuationMarks']",Fully Aligned
37,s a lousy one at that,0,s ; a lousy . one at that,0,"['RemovePositiveEmoji', 'InsertPunctuationMarks']",Fully Aligned
38,the corporate circus that is the recording industry in the current climate of mergers and downsizing,0,"the corporate ; circus that is the , recording industry in the current climate of mergers and downsizing",0,"['RemovePositiveEmoji', 'InsertPunctuationMarks']",Fully Aligned
