"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"it 's a charming and often affecting journey . ","it 's a charming and normally affecting journey . ",0.00023382902145385742,0.0005568861961364746,1.0,1.0,1.0,14.0,"Failed"
"unflinchingly bleak and desperate ","unflinchingly grim and desperate ",0.014329493045806885,0.15451455116271973,0.0,0.0,0.0,5.0,"Failed"
"allows us to hope that nolan is poised to embark a major career as a commercial yet inventive filmmaker . ","authorizes us to hopes that nolan is prepped to engage a major career as a commercial yet inventive filmmaker . ",0.0004261136054992676,0.28392601013183594,1.0,1.0,1.0,32.0,"Failed"
"the acting , costumes , music , cinematography and sound are all astounding given the production 's austere locales . ","the acting , costumes , music , cinematography and sound are all staggering given the productivity 's austere locales . ",0.003972053527832031,0.6220386028289795,1.0,0.0,1.0,8.0,"Successful"
"it 's slow -- very , very slow . ","it 's slow -- very , very slower . ",0.0020480751991271973,0.0025014281272888184,0.0,0.0,0.0,4.0,"Failed"
"although laced with humor and a few fanciful touches , the film is a refreshingly serious look at young women . ","although laced with mood and a few fanciful touches , the films is a cheerfully serious look at young female . ",0.00036346912384033203,0.0006566643714904785,1.0,1.0,1.0,13.0,"Failed"
"a sometimes tedious film . ","a occasionally tedious movies . ",0.003931403160095215,0.008360683917999268,0.0,0.0,0.0,6.0,"Failed"
"or doing last year 's taxes with your ex-wife . ","or doing last year 's taxation with your ex-wife . ",0.005927860736846924,0.007974565029144287,0.0,0.0,0.0,3.0,"Failed"
"you do n't have to know about music to appreciate the film 's easygoing blend of comedy and romance . ","you do n't have to know about music to thankful the cinema 's easygoing amalgam of comedy and romanticism . ",0.0003604888916015625,0.03305751085281372,1.0,1.0,1.0,20.0,"Failed"
"in exactly 89 minutes , most of which passed as slowly as if i 'd been sitting naked on an igloo , formula 51 sank from quirky to jerky to utter turkey . ","in exactly 89 minutes , most of which passed as slowly as if i 'd been sitting naked on an igloo , formula 51 sunk from moody to jerky to absolute ankara . ",0.002961397171020508,0.006289362907409668,0.0,0.0,0.0,12.0,"Failed"
"the mesmerizing performances of the leads keep the film grounded and keep the audience riveted . ","the mesmerizing performances of the leads maintain the movie anchored and keep the spectators riveted . ",0.00034546852111816406,0.0005048513412475586,1.0,1.0,1.0,21.0,"Failed"
"it takes a strange kind of laziness to waste the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie . ","it takes a inquisitive genus of laziness to squandering the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same film . ",0.0010519623756408691,0.016643643379211426,0.0,0.0,0.0,28.0,"Failed"
"... the film suffers from a lack of humor ( something needed to balance out the violence ) ... ","... the film undergo from a lack of mood ( something need to balancing out the violence ) ... ",0.0006940364837646484,0.0015006065368652344,0.0,0.0,0.0,8.0,"Failed"
"we root for ( clara and paul ) , even like them , though perhaps it 's an emotion closer to pity . ","we root for ( clara and paul ) , even like them , though perhaps it 's an emotion closer to pity . ",0.6413270235061646,0.6413270235061646,0.0,0.0,1.0,1.0,"Skipped"
"even horror fans will most likely not find what they 're seeking with trouble every day ; the movie lacks both thrills and humor . ","even horror fans will most perhaps not find what they 're seeking with difficulty every day ; the movie lacked both thrills and comedy . ",0.0008692145347595215,0.00327986478805542,0.0,0.0,0.0,15.0,"Failed"
"a gorgeous , high-spirited musical from india that exquisitely blends music , dance , song , and high drama . ","a magnifique , high-spirited music from india that finely blends music , dance , song , and high teatro . ",0.0002505183219909668,0.0003940463066101074,1.0,1.0,1.0,33.0,"Failed"
"the emotions are raw and will strike a nerve with anyone who 's ever had family trauma . ","the emotions are untreated and will strike a nerve with anyone who 's ever had family trauma . ",0.0006905794143676758,0.052662551403045654,1.0,1.0,1.0,2.0,"Failed"
"audrey tatou has a knack for picking roles that magnify her outrageous charm , and in this literate french comedy , she 's as morning-glory exuberant as she was in amélie . ","audrey tatou has a knack for picking roles that magnify her repugnant charm , and in this schooled french parody , she 's as morning-glory luxuriant as she was in amélie . ",0.0003737211227416992,0.1660403609275818,1.0,1.0,1.0,19.0,"Failed"
"... the movie is just a plain old monster . ","... the films is just a plain old monsters . ",0.0008032917976379395,0.0009439587593078613,0.0,0.0,0.0,4.0,"Failed"
"in its best moments , resembles a bad high school production of grease , without benefit of song . ","in its finest moments , reminds a wicked high school production of grease , without benefit of chanson . ",0.0010158419609069824,0.5132174491882324,0.0,1.0,0.0,24.0,"Successful"
"pumpkin takes an admirable look at the hypocrisy of political correctness , but it does so with such an uneven tone that you never know when humor ends and tragedy begins . ","pumpkin takes an admirable look at the hypocrisy of political correctness , but it does so with such an unequal tone that you never know when humor ends and tragedy begins . ",0.057879507541656494,0.9663772583007812,0.0,1.0,0.0,6.0,"Successful"
"the iditarod lasts for days - this just felt like it did . ","the iditarod extends for days - this just felt like it did . ",0.05384010076522827,0.05899542570114136,0.0,0.0,0.0,3.0,"Failed"
"holden caulfield did it better . ","holden caulfield did it better . ",0.9942765831947327,0.9942765831947327,1.0,1.0,0.0,1.0,"Skipped"
"a delectable and intriguing thriller filled with surprises , read my lips is an original . ","a delectable and intriguing thriller filled with surprises , read my lips is an original . ",0.0002726912498474121,0.0002726912498474121,1.0,1.0,1.0,13.0,"Failed"
"seldom has a movie so closely matched the spirit of a man and his work . ","seldom has a movie so inextricably confronted the spirit of a men and his work . ",0.0013270378112792969,0.0066814422607421875,1.0,1.0,1.0,8.0,"Failed"
"nicks , seemingly uncertain what 's going to make people laugh , runs the gamut from stale parody to raunchy sex gags to formula romantic comedy . ","nicks , seemingly uncertain what 's going to make people laugh , runs the spectrum from archaic parody to raunchy sex gags to formulas romantic comedy . ",0.0072307586669921875,0.5180040597915649,0.0,1.0,0.0,7.0,"Successful"
"the action switches between past and present , but the material link is too tenuous to anchor the emotional connections that purport to span a 125-year divide . ","the action switches between past and present , but the material nexus is too fragile to wetting the sentimental connections that purport to span a 125-year divide . ",0.009872257709503174,0.26079773902893066,0.0,0.0,0.0,31.0,"Failed"
"it 's an offbeat treat that pokes fun at the democratic exercise while also examining its significance for those who take part . ","it 's an offbeat address that pokes droll at the democratic exercise while also examining its significance for those who take part . ",0.00039321184158325195,0.7302470207214355,1.0,0.0,1.0,8.0,"Successful"
"it 's a cookie-cutter movie , a cut-and-paste job . ","it 's a cookie-cutter films , a cut-and-paste workplace . ",0.0028399229049682617,0.0052335262298583984,0.0,0.0,0.0,8.0,"Failed"
"i had to look away - this was god awful . ","i had to look away - this was goodness horrendous . ",0.004661440849304199,0.33361244201660156,0.0,0.0,0.0,14.0,"Failed"
"thanks to scott 's charismatic roger and eisenberg 's sweet nephew , roger dodger is one of the most compelling variations on in the company of men . ","appreciation to scott 's charismatic roger and eisenberg 's sweet nephew , roger dodger is one of the most cogent discrepancies on in the companies of men . ",0.00034558773040771484,0.28890132904052734,1.0,1.0,1.0,15.0,"Failed"
"... designed to provide a mix of smiles and tears , `` crossroads '' instead provokes a handful of unintentional howlers and numerous yawns . ","... designed to provide a mix of laughter and tears , `` crossroads '' alternatively awakens a handful of unintentional howlers and numerous yawns . ",0.004222393035888672,0.5115399956703186,0.0,1.0,0.0,21.0,"Successful"
"a gorgeous , witty , seductive movie . ","a magnificent , witty , seductive films . ",0.0002135634422302246,0.0002586245536804199,1.0,1.0,1.0,25.0,"Failed"
"if the movie succeeds in instilling a wary sense of ` there but for the grace of god , ' it is far too self-conscious to draw you deeply into its world . ","if the films succeed in instilling a attentive sense of ` there but for the grace of god , ' it is far too self-conscious to draw you harshly into its world . ",0.003693699836730957,0.14996784925460815,0.0,0.0,0.0,30.0,"Failed"
"it does n't believe in itself , it has no sense of humor ... it 's just plain bored . ","it does n't think in itself , it has no sensing of mood ... it 's just plain bored . ",0.000773310661315918,0.001063525676727295,0.0,0.0,0.0,9.0,"Failed"
"a sequence of ridiculous shoot - 'em - up scenes . ","a sequences of absurd shoot - 'em - up scenes . ",0.0013052821159362793,0.0076677799224853516,0.0,0.0,0.0,4.0,"Failed"
"the weight of the piece , the unerring professionalism of the chilly production , and the fascination embedded in the lurid topic prove recommendation enough . ","the weight of the piece , the unerring professionalism of the cold production , and the fascination embedded in the lurid topic demonstrating propositions suffice . ",0.0018262863159179688,0.28845763206481934,1.0,1.0,1.0,20.0,"Failed"
"( w ) hile long on amiable monkeys and worthy environmentalism , jane goodall 's wild chimpanzees is short on the thrills the oversize medium demands . ","( w ) hile long on amiable monkeys and commendable environmentalism , jane goodall 's wild chimpanzees is terse on the thrills the oversize medium demands . ",0.005808889865875244,0.5471745729446411,0.0,1.0,0.0,8.0,"Successful"
"as surreal as a dream and as detailed as a photograph , as visually dexterous as it is at times imaginatively overwhelming . ","as surrealist as a nightmares and as detailed as a photographing , as visually dexterous as it is at times imaginatively whopping . ",0.0006101131439208984,0.0016377568244934082,1.0,1.0,1.0,19.0,"Failed"
"escaping the studio , piccoli is warmly affecting and so is this adroitly minimalist movie . ","flee the studio , piccoli is warmly affecting and so is this adroitly minimal kino . ",0.0004736185073852539,0.020374000072479248,1.0,1.0,1.0,15.0,"Failed"
"there 's ... tremendous energy from the cast , a sense of playfulness and excitement that seems appropriate . ","there 's ... prodigious energies from the cast , a sense of playfulness and arousal that seems adequate . ",0.00024193525314331055,0.004532933235168457,1.0,1.0,1.0,29.0,"Failed"
"this illuminating documentary transcends our preconceived vision of the holy land and its inhabitants , revealing the human complexities beneath . ","this instructive documentary transcends our preconceived vision of the sacrosanct land and its populations , reveal the human complexities beneath . ",0.0005641579627990723,0.001499772071838379,1.0,1.0,1.0,8.0,"Failed"
"the subtle strength of `` elling '' is that it never loses touch with the reality of the grim situation . ","the nuanced kraft of `` elling '' is that it never losing touch with the actuality of the grim situation . ",0.0006014108657836914,0.030618250370025635,1.0,1.0,1.0,13.0,"Failed"
"holm ... embodies the character with an effortlessly regal charisma . ","holm ... embodies the personage with an effortlessly royal charisma . ",0.0003955960273742676,0.0007142424583435059,1.0,1.0,1.0,7.0,"Failed"
"the title not only describes its main characters , but the lazy people behind the camera as well . ","the title not only depicts its leading characters , but the lazy people behind the camera as well . ",0.013536989688873291,0.03094381093978882,0.0,0.0,0.0,26.0,"Failed"
"it offers little beyond the momentary joys of pretty and weightless intellectual entertainment . ","it offers tiny beyond the momentary joys of pretty and weightless intellectual entertainment . ",0.11028534173965454,0.9940889477729797,0.0,1.0,0.0,4.0,"Successful"
"a synthesis of cliches and absurdities that seems positively decadent in its cinematic flash and emptiness . ","a synthesis of cliches and absurdities that seems positively decadent in its cinematic flash and emptiness . ",0.6958693861961365,0.6958693861961365,1.0,1.0,0.0,1.0,"Skipped"
"a subtle and well-crafted ( for the most part ) chiller . ","a subtle and well-crafted ( for the most portion ) chiller . ",0.00038492679595947266,0.0003860592842102051,1.0,1.0,1.0,4.0,"Failed"
"has a lot of the virtues of eastwood at his best . ","has a lot of the advantages of eastwood at his finest . ",0.0002995729446411133,0.0006474852561950684,1.0,1.0,1.0,6.0,"Failed"
"it 's hampered by a lifetime-channel kind of plot and a lead actress who is out of her depth . ","it 's constrained by a lifetime-channel genus of intrigue and a lead actress who is out of her depth . ",0.0008432865142822266,0.005051255226135254,0.0,0.0,0.0,26.0,"Failed"
"it feels like an after-school special gussied up with some fancy special effects , and watching its rote plot points connect is about as exciting as gazing at an egg timer for 93 minutes . ","it feels like an after-school special gussied up with some fancy special influences , and watching its rote intrigue points connect is about as excite as gazing at an egg clock for 93 minutes . ",0.001534104347229004,0.0048370361328125,0.0,0.0,0.0,18.0,"Failed"
"for the most part , director anne-sophie birot 's first feature is a sensitive , extraordinarily well-acted drama . ","for the most portion , director anne-sophie birot 's first attribute is a receptive , unimaginably well-acted drama . ",0.0003477334976196289,0.0019075274467468262,1.0,1.0,1.0,32.0,"Failed"
"mr. tsai is a very original artist in his medium , and what time is it there ? ","mr. tsai is a very originals artist in his midst , and what time is it there ? ",0.02018076181411743,0.6689047813415527,1.0,0.0,1.0,6.0,"Successful"
"sade is an engaging look at the controversial eponymous and fiercely atheistic hero . ","sade is an participate gaze at the debatable eponymous and strenuously atheistic hero . ",0.0009563565254211426,0.642446756362915,1.0,0.0,1.0,20.0,"Successful"
"so devoid of any kind of intelligible story that it makes films like xxx and collateral damage seem like thoughtful treatises ","so bereft of any kind of comprehensible saga that it makes films like xxx and collateral damage appears like thoughtful treatises ",0.0021044015884399414,0.03238224983215332,0.0,0.0,0.0,11.0,"Failed"
"a tender , heartfelt family drama . ","a offers , heartfelt family drama . ",0.00027698278427124023,0.00041407346725463867,1.0,1.0,1.0,6.0,"Failed"
"... a hollow joke told by a cinematic gymnast having too much fun embellishing the misanthropic tale to actually engage it . ","... a hollow giggle told by a cinematic gymnast having too much fun embellishing the misanthropic history to genuinely embark it . ",0.0014978647232055664,0.00713503360748291,0.0,0.0,0.0,19.0,"Failed"
"the cold turkey would 've been a far better title . ","the chilly turkeys would 've been a far better title . ",0.012986242771148682,0.01848161220550537,0.0,0.0,0.0,4.0,"Failed"
"manages to be both repulsively sadistic and mundane . ","manages to be both repulsively sadistic and mundane . ",0.692896842956543,0.692896842956543,1.0,1.0,0.0,1.0,"Skipped"
"it 's just disappointingly superficial -- a movie that has all the elements necessary to be a fascinating , involving character study , but never does more than scratch the surface . ","it 's just disappointingly superficial -- a flick that has all the element indispensable to be a fascinating , involving character study , but never does more than graze the surface . ",0.002178192138671875,0.0041422247886657715,0.0,0.0,0.0,20.0,"Failed"
