"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"it 's a charming and often affecting journey . ","it 's a charming and frequently affecting journey . ",0.00023382902145385742,0.00023823976516723633,1.0,1.0,1.0,2.0,"Failed"
"unflinchingly bleak and desperate ","unflinchingly bleak and desperate ",0.014329493045806885,0.014329493045806885,0.0,0.0,0.0,1.0,"Failed"
"allows us to hope that nolan is poised to embark a major career as a commercial yet inventive filmmaker . ","allows us to hope that nolan is prepared to start a major career as a commercial yet creative filmmaker . ",0.0004261136054992676,0.0011413097381591797,1.0,1.0,1.0,6.0,"Failed"
"the acting , costumes , music , cinematography and sound are all astounding given the production 's austere locales . ","the acting , costumes , music , film and sound are all astounding given the production 's austere locales . ",0.003972053527832031,0.004791557788848877,1.0,1.0,1.0,2.0,"Failed"
"it 's slow -- very , very slow . ","it 's slow -- very , very slow . ",0.0020480751991271973,0.0020480751991271973,0.0,0.0,0.0,1.0,"Failed"
"although laced with humor and a few fanciful touches , the film is a refreshingly serious look at young women . ","although laced with humour and a few fanciful touches , the film is a refreshingly serious look at young women . ",0.00036346912384033203,0.0003763437271118164,1.0,1.0,1.0,7.0,"Failed"
"a sometimes tedious film . ","a sometimes tedious film . ",0.003931403160095215,0.003931403160095215,0.0,0.0,0.0,1.0,"Failed"
"or doing last year 's taxes with your ex-wife . ","or doing last year 's taxes with your ex-wife . ",0.005927860736846924,0.005927860736846924,0.0,0.0,0.0,1.0,"Failed"
"you do n't have to know about music to appreciate the film 's easygoing blend of comedy and romance . ","you do n't have to know about music to appreciate the movie 's easygoing mixture of humor and romance . ",0.0003604888916015625,0.0004152655601501465,1.0,1.0,1.0,8.0,"Failed"
"in exactly 89 minutes , most of which passed as slowly as if i 'd been sitting naked on an igloo , formula 51 sank from quirky to jerky to utter turkey . ","in exactly five minutes , most of which passed as slowly as if i 'd been sitting naked on an igloo , formula 51 sank from quirky to jerky to utter turkey . ",0.002961397171020508,0.0033368468284606934,0.0,0.0,0.0,6.0,"Failed"
"the mesmerizing performances of the leads keep the film grounded and keep the audience riveted . ","the mesmerizing performances of the leads maintain the movie grounded and keeping the viewers riveted . ",0.00034546852111816406,0.00045567750930786133,1.0,1.0,1.0,8.0,"Failed"
"it takes a strange kind of laziness to waste the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie . ","it takes a strange kind of laziness to waste the talents of robert forster , anne marie , eugene levy , and reginald veljohnson all in the same movie . ",0.0010519623756408691,0.0010665059089660645,0.0,0.0,0.0,31.0,"Failed"
"... the film suffers from a lack of humor ( something needed to balance out the violence ) ... ","... the film suffer from a lack of humor ( something needed to balance out the violence ) ... ",0.0006940364837646484,0.0007750988006591797,0.0,0.0,0.0,3.0,"Failed"
"we root for ( clara and paul ) , even like them , though perhaps it 's an emotion closer to pity . ","we root for ( clara and paul ) , even like them , though perhaps it 's an emotion closer to pity . ",0.6413267850875854,0.6413267850875854,0.0,0.0,1.0,1.0,"Skipped"
"even horror fans will most likely not find what they 're seeking with trouble every day ; the movie lacks both thrills and humor . ","even horror enthusiasts will most possibly not find what they 're seeking with trouble any day ; the gameplay lacks both thrills and humor . ",0.0008692145347595215,0.0011660456657409668,0.0,0.0,0.0,8.0,"Failed"
"a gorgeous , high-spirited musical from india that exquisitely blends music , dance , song , and high drama . ","a brilliant , innovative musical from india that finely blended music , dance , song , and high drama . ",0.0002505183219909668,0.0003184080123901367,1.0,1.0,1.0,24.0,"Failed"
"the emotions are raw and will strike a nerve with anyone who 's ever had family trauma . ","the feelings are raw and will hit a nerve with somebody who 's ever had family trauma . ",0.0006905794143676758,0.0031615495681762695,1.0,1.0,1.0,8.0,"Failed"
"audrey tatou has a knack for picking roles that magnify her outrageous charm , and in this literate french comedy , she 's as morning-glory exuberant as she was in amélie . ","audrey jones has a knack for picking roles that magnify her outrageous charm , and in this literate french comedy , she 's as morning-glory exuberant as she was in amélie . ",0.0003737211227416992,0.0003801584243774414,1.0,1.0,1.0,9.0,"Failed"
"... the movie is just a plain old monster . ","... the movie is just a plain old monster . ",0.0008032917976379395,0.0008032917976379395,0.0,0.0,0.0,1.0,"Failed"
"in its best moments , resembles a bad high school production of grease , without benefit of song . ","in its finest moments , resembles a bad high school production of grease , without benefit of song . ",0.0010158419609069824,0.0012150406837463379,0.0,0.0,0.0,2.0,"Failed"
"pumpkin takes an admirable look at the hypocrisy of political correctness , but it does so with such an uneven tone that you never know when humor ends and tragedy begins . ","pumpkin takes an admirable look at the hypocrisy of political correctness , but it does so with such an uneven tone that you never know when comedy ends and tragedy begins . ",0.057879626750946045,0.0690237283706665,0.0,0.0,0.0,4.0,"Failed"
"the iditarod lasts for days - this just felt like it did . ","the iditarod lasts for days - this just felt like it did . ",0.05384021997451782,0.05384021997451782,0.0,0.0,0.0,1.0,"Failed"
"holden caulfield did it better . ","holden caulfield did it better . ",0.9942765831947327,0.9942765831947327,1.0,1.0,0.0,1.0,"Skipped"
"a delectable and intriguing thriller filled with surprises , read my lips is an original . ","a delectable and intriguing thriller filled with surprises , read my lips is an original . ",0.0002726912498474121,0.0002726912498474121,1.0,1.0,1.0,2.0,"Failed"
"seldom has a movie so closely matched the spirit of a man and his work . ","seldom has a movie so closely matched the spirit of a man and his work . ",0.0013270378112792969,0.0013270378112792969,1.0,1.0,1.0,1.0,"Failed"
"nicks , seemingly uncertain what 's going to make people laugh , runs the gamut from stale parody to raunchy sex gags to formula romantic comedy . ","nicks , seemingly uncertain what 's going to make people laugh , runs the spectrum from stale comedy to raunchy sex iness to formula ical comedy . ",0.0072307586669921875,0.014988422393798828,0.0,0.0,0.0,7.0,"Failed"
"the action switches between past and present , but the material link is too tenuous to anchor the emotional connections that purport to span a 125-year divide . ","the action switches between past and present , but the material link is too fragile to anchor the emotional connections that grow to span a 125-year divide . ",0.009872257709503174,0.03563731908798218,0.0,0.0,0.0,25.0,"Failed"
"it 's an offbeat treat that pokes fun at the democratic exercise while also examining its significance for those who take part . ","it 's an offbeat treat that pokes fun at the democratic exercise while also examining its significance for those who taking part . ",0.00039321184158325195,0.0004069209098815918,1.0,1.0,1.0,4.0,"Failed"
"it 's a cookie-cutter movie , a cut-and-paste job . ","it 's a cookie-cutter movie , a cut-and-paste job . ",0.0028399229049682617,0.0028399229049682617,0.0,0.0,0.0,1.0,"Failed"
"i had to look away - this was god awful . ","i had to look away - this was god awful . ",0.004661440849304199,0.004661440849304199,0.0,0.0,0.0,1.0,"Failed"
"thanks to scott 's charismatic roger and eisenberg 's sweet nephew , roger dodger is one of the most compelling variations on in the company of men . ","thanks to scott 's charismatic roger and eisenberg 's sweet nephew , roger dodger is one of the most convincing variations on in the company of men . ",0.00034558773040771484,0.0003726482391357422,1.0,1.0,1.0,2.0,"Failed"
"... designed to provide a mix of smiles and tears , `` crossroads '' instead provokes a handful of unintentional howlers and numerous yawns . ","... designed to deliver a blend of laughter and tears , `` crossroads '' instead provokes a handful of unintentional smiles and numerous yawns . ",0.004222393035888672,0.01617330312728882,0.0,0.0,0.0,25.0,"Failed"
"a gorgeous , witty , seductive movie . ","a brilliant , witty , seductive movie . ",0.0002135634422302246,0.00021392107009887695,1.0,1.0,1.0,3.0,"Failed"
"if the movie succeeds in instilling a wary sense of ` there but for the grace of god , ' it is far too self-conscious to draw you deeply into its world . ","if the movie succeed in instilling a wary sense of ` there but for the grace of god , ' it is far too good to draw you deeply into its world . ",0.003693699836730957,0.9922518730163574,0.0,1.0,0.0,18.0,"Successful"
"it does n't believe in itself , it has no sense of humor ... it 's just plain bored . ","it does however believe in itself , it has no feeling of humor ... it 's just plain bored . ",0.000773310661315918,0.0010048747062683105,0.0,0.0,0.0,8.0,"Failed"
